old_figure_id,chapter,old_title_short,status,new_figure_id,required_action
Intro-1,Introduction,AI value chain in health systems,RETIRE,,Removed from the revised list of figures; its causal logic is incorporated in Chapter 1 and the revised opening discussion.
1.1,1,AI intervention value chain with cross-cutting controls and continuous evaluation,RETAIN_RECREATE,1.1,Redrawn and recaptioned as a conceptual intervention value chain.
1.2,1,Illustrative value-realization waterfall,RETAIN_RECREATE,1.2,Redrawn and reframed as the conceptual pathway from technical potential to realized hospital value.
1.3,1,Opportunity cost in AI adoption,RETAIN_RECREATE,1.3,Redrawn as a conceptual resource-allocation frontier.
1.4,1,Net monetary benefit across alternative decision thresholds,RETIRE,,Removed from Chapter 1; threshold and net-benefit methods now sit in Chapters 7–8.
2.1,2,Digital health value chain,RETIRE,,Removed; the data-to-value logic is retained in prose and the Chapter 1 intervention pathway.
2.2,2,Digital transformation flywheel,RETIRE,,Removed; cumulative capability development is retained in narrative form.
2.3,2,Layered institutional capabilities required for AI readiness,RETAIN_RENUMBER,2.1,Recreated and renumbered.
2.4,2,AI-ready interoperability stack,RETIRE,,Removed; interoperability is treated in the chapter narrative and readiness records.
2.5,2,Health-data governance lifecycle for public-interest AI use,RETAIN_RENUMBER,2.2,Recreated with revised responsible-secondary-use wording.
2.6,2,Public-value and governance-risk matrix for secondary use,RETIRE,,Removed; proportional governance is retained in narrative and companion forms.
3.1,3,Human–AI decision-support loop with accountable action and learning,REPLACE,3.1,Replaced by the broader AI-mediated decision architecture.
3.2,3,Human–AI delegation spectrum,RETIRE,,Removed; decision-right configurations are now expressed in Table 3.1.
3.3,3,Dashboard value pathway,RETIRE,,Removed; collective sensemaking and action logic are retained in prose.
3.4,3,Dashboard action latency,RETAIN_RENUMBER,3.2,"Recreated as decision latency across signal, interpretation and response."
4.1,4,Productivity decomposition from gross time saving to realized capacity,RETAIN_RECREATE,4.1,Recreated with net usable capacity and stronger labour/workflow distinctions.
4.2,4,Implementation roadmap for AI in health systems,RETIRE,,Removed as a generic roadmap.
4.3,4,Staged VALIDATE-AI implementation pathway,RETAIN_RENUMBER,4.2,"Recreated and simplified into four grouped phases with cross-cutting governance, learning and monitoring."
