Question,Yes / No / Evidence
Has model performance declined below an agreed threshold?,"Illustrative response for Has model performance declined below an agreed threshold?: evidence documented, limitations noted, and an accountable owner assigned."
Has subgroup performance created equity concerns?,"Illustrative response for Has subgroup performance created equity concerns?: evidence documented, limitations noted, and an accountable owner assigned."
Have total costs exceeded the approved budget impact range?,"Illustrative response for Have total costs exceeded the approved budget impact range?: evidence documented, limitations noted, and an accountable owner assigned."
Has clinician adoption fallen below a useful level?,"Illustrative response for Has clinician adoption fallen below a useful level?: evidence documented, limitations noted, and an accountable owner assigned."
Has the system increased workflow burden or alert fatigue?,"Illustrative response for Has the system increased workflow burden or alert fatigue?: evidence documented, limitations noted, and an accountable owner assigned."
"Has a privacy, cybersecurity, or continuity risk become unacceptable?","Illustrative response for Has a privacy, cybersecurity, or continuity risk become unacceptable?: evidence documented, limitations noted, and an accountable owner assigned."
"Has the vendor failed to meet support, monitoring, or reporting obligations?","Illustrative response for Has the vendor failed to meet support, monitoring, or reporting obligations?: evidence documented, limitations noted, and an accountable owner assigned."
"Has a safer, more interoperable, or more cost-effective alternative become available?","Illustrative response for Has a safer, more interoperable, or more cost-effective alternative become available?: evidence documented, limitations noted, and an accountable owner assigned."
Can the system be retired without disrupting patient care?,"Illustrative response for Can the system be retired without disrupting patient care?: evidence documented, limitations noted, and an accountable owner assigned."
Has a communication and transition plan been prepared?,"Illustrative response for Has a communication and transition plan been prepared?: evidence documented, limitations noted, and an accountable owner assigned."
