Outcome domain,Illustrative measure
Feasibility,"Completion rate, time, staff categories, cost, missing items"
Acceptability,"User usefulness, burden, clarity, trust, willingness to reuse"
Reliability,"Percent agreement, weighted kappa, intraclass correlation where appropriate"
Content validity,Item/domain relevance and comprehensiveness ratings
Construct evidence,"Relationships with maturity, risk, evidence quality, or governance capacity"
Decision usefulness,"Evidence gaps detected, decision changes, conditions added, procurement clauses improved"
Equity and participation,Patient/public involvement quality; subgroup issues identified and mitigated
Implementation impact,"Pilot quality, monitoring completeness, incident response, time to decision"
Economic impact,"Assessment cost, avoided failed procurement, improved budget estimates, lifecycle value"
Sustainability,"Repeated use, update adherence, institutionalization, version control"
