Incident field,Record
Date/time detected and reporter,"Illustrative response for Date/time detected and reporter: evidence documented, limitations noted, and an accountable owner assigned."
"System, version, site, workflow","Illustrative response for System, version, site, workflow: evidence documented, limitations noted, and an accountable owner assigned."
Description and affected population,"Illustrative response for Description and affected population: evidence documented, limitations noted, and an accountable owner assigned."
Actual and potential clinical consequence,"Illustrative response for Actual and potential clinical consequence: evidence documented, limitations noted, and an accountable owner assigned."
"Equity, privacy, cyber, workflow, and economic consequence","Illustrative response for Equity, privacy, cyber, workflow, and economic consequence: evidence documented, limitations noted, and an accountable owner assigned."
Immediate containment / pause decision,"Illustrative response for Immediate containment / pause decision: evidence documented, limitations noted, and an accountable owner assigned."
Incident grade and rationale,"Illustrative response for Incident grade and rationale: evidence documented, limitations noted, and an accountable owner assigned."
Technical and organizational analysis,"Illustrative response for Technical and organizational analysis: evidence documented, limitations noted, and an accountable owner assigned."
Corrective and preventive action,"Illustrative response for Corrective and preventive action: evidence documented, limitations noted, and an accountable owner assigned."
Communication and external reporting where required,"Illustrative response for Communication and external reporting where required: evidence documented, limitations noted, and an accountable owner assigned."
Restart / restriction / retirement decision,"Illustrative response for Restart / restriction / retirement decision: evidence documented, limitations noted, and an accountable owner assigned."
"Owner, due date, closure evidence","Illustrative response for Owner, due date, closure evidence: evidence documented, limitations noted, and an accountable owner assigned."
