Procurement area,Required question
Evidence,"What clinical, economic, and real-world evidence supports the product?"
Local validation,Will the vendor support validation using local hospital data?
Interoperability,Does the system support open standards and integration with existing infrastructure?
Data ownership,"Who owns input data, output data, logs, derived data, and model-improvement data?"
Audit access,"Can the hospital audit performance, bias, usage, and safety?"
Versioning,"How are model updates documented, tested, and approved?"
Cybersecurity,"What security certifications, controls, and incident response procedures are in place?"
Cost escalation,"Are future fees, maintenance costs, and integration costs predictable?"
Exit strategy,Can the hospital export data and discontinue without vendor lock-in?
Human oversight,What decisions require human review and accountability?
