Question,Yes / No / Evidence
Has model performance declined below an agreed threshold?,
Has subgroup performance created equity concerns?,
Have total costs exceeded the approved budget impact range?,
Has clinician adoption fallen below a useful level?,
Has the system increased workflow burden or alert fatigue?,
"Has a privacy, cybersecurity, or continuity risk become unacceptable?",
"Has the vendor failed to meet support, monitoring, or reporting obligations?",
"Has a safer, more interoperable, or more cost-effective alternative become available?",
Can the system be retired without disrupting patient care?,
Has a communication and transition plan been prepared?,
