Parameter,Value,Unit
Clinicians,40,people
Encounters per clinician per week,20,encounters
Working weeks per year,46,weeks
Gross minutes saved per used encounter,7,minutes
Review and correction minutes per used encounter,3.5,minutes
Adoption rate,0.7,proportion
Redeployable share of net hours,0.1,proportion
Value per redeployed hour,300,currency/hour
Annual subscription,180000,currency
First-year integration,120000,currency
Training and workflow redesign,35000,currency
Annual monitoring and governance,40000,currency
