resource_id,chapter,action,case_title_or_focus,required_revision_and_rationale
AIHE-CASE01,1,UPDATE,Emergency-department triage portfolio decision,Align with revised Tables 1.1–1.4 and Figures 1.1–1.3; remove dependence on the retired NMB threshold figure; make staged commitment and option value explicit.
AIHE-CASE02,2,UPDATE,Readmission-model readiness and data-fitness assessment,"End with a use-case readiness decision and named remediation, pilot and stop conditions; avoid a single maturity score."
AIHE-CASE03,3,UPDATE,Deterioration alert under constrained review capacity,"Rebuild around the AI-mediated decision architecture, appropriate reliance, deferral, decision rights, and three forms of latency."
AIHE-CASE03B,3,UPDATE,Managerial/dashboard companion case,"Use collective sensemaking, action feasibility, decision owner and outcome review rather than a generic dashboard-value pathway."
AIHE-CASE04,4,MAJOR_UPDATE,Ambient notes assistant,"Measure task efficiency, net labour saving, quality adjustment, usable capacity, work redistribution, bottlenecks, work intensity, capacity allocation and persistence."
AIHE-CASE05,5,MAJOR_UPDATE,"AI quality control, accreditation and corrective action","Add signal triage, investigation, CAPA, effectiveness verification, closure authority, recurrence prevention and institutional-memory output."
AIHE-CASE06,6,MAJOR_UPDATE,"Five-year lifecycle cost, pricing, ROI and benefit realization","Separate economic cost, cash and accounting treatment; add budget incidence, benefit-recognition rules, NPV/ROI/payback, downside exposure, renewal and exit."
AIHE-CASE07,7,UPDATE,Remote monitoring economic evaluation,"Add efficiency frontier, transferability, annual/cumulative budget impact, distribution and the distinction between joint clinical assessment and local economic/adoption decisions."
AIHE-CASE08,8,MAJOR_UPDATE,Imaging prioritization model and value of information,"Add explicit AI characteristics, structural uncertainty, one-way sensitivity, PSA/CEAC, EVPI, EVSI, ENBS and a research-design recommendation."
AIHE-CASE09,9,MAJOR_UPDATE,AI vendor procurement and contract negotiation,"Extend beyond selection to continuing disclosure, upstream dependencies, obligation monitoring, material change, renewal, renegotiation and credible exit."
AIHE-CASE10,10,UPDATE,Patient-facing chatbot institutional-risk review,"Add residual-risk acceptance authority, assurance independence, conflicts/dissent, contestability, legitimacy and reauthorization."
AIHE-CASE11,11,MAJOR_UPDATE,Local validation and causal evaluation of a readmission model,"Separate local validity, decision utility and causal effect; specify the estimand, what each design can establish, and re-evaluation after material change."
AIHE-CASE12,12,MAJOR_UPDATE,"Model update, incident response and renewal decision","Rebuild as a state-transition and decision-provenance case covering version identity, triggers, materiality, reauthorization, renewal, restriction, replacement and retirement."
AIHE-CASE13,13,MAJOR_UPDATE,Circular AI infrastructure strategy,"Add stocks/flows, inner and outer loops, circular leakage, functional units, resource intensity, rebound and geographical burden shifting."
AIHE-CASE14,14,MAJOR_UPDATE,"Imaging platform: maintain, refurbish, replace or share","Add eligibility gate, supported service life, obsolescence, EAC, realizable residual value, thresholds, asset closure and final-destination evidence."
AIHE-CASE15,15,REPLACE_PRIMARY,AI-assisted remote diagnostic pathway,"Replace the old edge/cloud/shared principal case. Evaluate functionally equivalent remote-diagnostic options, marginal and average resource consequences, incomplete monetisation, double counting, rebound, resilience and spatial/intertemporal burden transfer."
AIHE-CASE06B,6,NEW_MICROCASE,Financial recognition and budget incidence,"Shows why capacity release, avoided cost, cashable saving, revenue effect and accounting treatment cannot be treated as equivalent."
AIHE-CASE08B,8,NEW_MICROCASE,EVSI and expected net benefit of sampling for a staged pilot,"Connects uncertainty analysis to sample size, pilot cost and a decision about further evidence."
AIHE-CASE09B,9,NEW_MICROCASE,Upstream model-provider change during a vendor contract,"Demonstrates continuing disclosure, material-change assessment, revalidation, pricing exposure and reauthorization."
AIHE-CASE13B,13,NEW_MICROCASE,Rebound and burden transfer in AI-enabled resource efficiency,Shows how lower per-unit resource use can coexist with higher total demand or burdens displaced to another location or period.
