resource_id,module_number,title,primary_chapter,primary_chapter_title,additional_chapters,related_core_resources,related_case,formats,version,status,folder,primary_related_case,additional_related_cases,related_cases,script_path,notebook_path,xlsx_template_path,ods_template_path,example_outputs_path,release_date,safeguard
AIHE-PY01,01,"Data quality, fitness-for-purpose, and mapping audit",2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04; AIHE-B05,AIHE-CASE02,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/02/python_analytics/PY01_data_quality,AIHE-CASE02,,AIHE-CASE02,chapters/02/python_analytics/PY01_data_quality/python/01_data_quality_and_mapping.py,chapters/02/python_analytics/PY01_data_quality/notebook/01_data_quality_and_mapping.ipynb,chapters/02/python_analytics/PY01_data_quality/data/xlsx/01_data_quality_and_mapping_template.xlsx,,chapters/02/python_analytics/PY01_data_quality/outputs/example,2026-09-16,
AIHE-PY02,02,Descriptive statistics and visual comparisons,5,"Quality Management, Accreditation, and Organizational Learning","3, 5, 11",AIHE-C01,AIHE-CASE05,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/05/python_analytics/PY02_descriptive,AIHE-CASE05,,AIHE-CASE05,chapters/05/python_analytics/PY02_descriptive/python/02_descriptive_statistics_and_visuals.py,chapters/05/python_analytics/PY02_descriptive/notebook/02_descriptive_statistics_and_visuals.ipynb,chapters/05/python_analytics/PY02_descriptive/data/xlsx/02_descriptive_statistics_and_visuals_template.xlsx,,chapters/05/python_analytics/PY02_descriptive/outputs/example,2026-09-16,
AIHE-PY03,03,Missing-data sensitivity analysis,2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04; AIHE-B05,AIHE-CASE02,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/02/python_analytics/PY03_missing_data,AIHE-CASE02,,AIHE-CASE02,chapters/02/python_analytics/PY03_missing_data/python/03_missing_data_sensitivity.py,chapters/02/python_analytics/PY03_missing_data/notebook/03_missing_data_sensitivity.ipynb,chapters/02/python_analytics/PY03_missing_data/data/xlsx/03_missing_data_sensitivity_template.xlsx,,chapters/02/python_analytics/PY03_missing_data/outputs/example,2026-09-16,
AIHE-PY04,04,Predictive model development: logistic regression and random forest,11,"Evidence, Validation, and Real-World Evaluation","3, 11",AIHE-B05,AIHE-CASE11,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/11/python_analytics/PY04_model_dev,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/PY04_model_dev/python/04_predictive_model_comparison.py,chapters/11/python_analytics/PY04_model_dev/notebook/04_predictive_model_comparison.ipynb,chapters/11/python_analytics/PY04_model_dev/data/xlsx/04_predictive_model_comparison_template.xlsx,,chapters/11/python_analytics/PY04_model_dev/outputs/example,2026-09-16,
AIHE-PY05,05,"Model performance, threshold trade-offs, and calibration",11,"Evidence, Validation, and Real-World Evaluation","3, 11",AIHE-B05,AIHE-CASE11,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/11/python_analytics/PY05_performance,AIHE-CASE11,,AIHE-CASE11,chapters/11/python_analytics/PY05_performance/python/05_performance_and_calibration.py,chapters/11/python_analytics/PY05_performance/notebook/05_performance_and_calibration.ipynb,chapters/11/python_analytics/PY05_performance/data/xlsx/05_performance_and_calibration_template.xlsx,,chapters/11/python_analytics/PY05_performance/outputs/example,2026-09-16,
AIHE-PY06,06,Decision-curve analysis,3,Human–AI Decision Systems and Managerial Action,"3, 7, 11",AIHE-C04; AIHE-B05,AIHE-CASE03,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/03/python_analytics/PY06_decision_curve,AIHE-CASE03,,AIHE-CASE03,chapters/03/python_analytics/PY06_decision_curve/python/06_decision_curve_analysis.py,chapters/03/python_analytics/PY06_decision_curve/notebook/06_decision_curve_analysis.ipynb,chapters/03/python_analytics/PY06_decision_curve/data/xlsx/06_decision_curve_analysis_template.xlsx,,chapters/03/python_analytics/PY06_decision_curve/outputs/example,2026-09-16,
AIHE-PY07,07,Feature importance and partial-dependence exploration,10,"Governance, Accountability, and Institutional Risk","3, 10, 11",AIHE-C03,AIHE-CASE10,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/10/python_analytics/PY07_feature_importance,AIHE-CASE10,,AIHE-CASE10,chapters/10/python_analytics/PY07_feature_importance/python/07_feature_importance_explainability.py,chapters/10/python_analytics/PY07_feature_importance/notebook/07_feature_importance_explainability.ipynb,chapters/10/python_analytics/PY07_feature_importance/data/xlsx/07_feature_importance_explainability_template.xlsx,,chapters/10/python_analytics/PY07_feature_importance/outputs/example,2026-09-16,
AIHE-PY08,08,Subgroup performance and equity audit,10,"Governance, Accountability, and Institutional Risk","7, 10, 11",AIHE-C03,AIHE-CASE10,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/10/python_analytics/PY08_equity_audit,AIHE-CASE10,,AIHE-CASE10,chapters/10/python_analytics/PY08_equity_audit/python/08_subgroup_equity_audit.py,chapters/10/python_analytics/PY08_equity_audit/notebook/08_subgroup_equity_audit.ipynb,chapters/10/python_analytics/PY08_equity_audit/data/xlsx/08_subgroup_equity_audit_template.xlsx,,chapters/10/python_analytics/PY08_equity_audit/outputs/example,2026-09-16,
AIHE-PY09,09,Temporal validation and drift monitoring,12,Decision Architecture and Lifecycle Governance,"11, 12",AIHE-D03; AIHE-D05; AIHE-B05,AIHE-CASE12,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/12/python_analytics/PY09_drift,AIHE-CASE12,,AIHE-CASE12,chapters/12/python_analytics/PY09_drift/python/09_temporal_validation_and_drift.py,chapters/12/python_analytics/PY09_drift/notebook/09_temporal_validation_and_drift.ipynb,chapters/12/python_analytics/PY09_drift/data/xlsx/09_temporal_validation_and_drift_template.xlsx,,chapters/12/python_analytics/PY09_drift/outputs/example,2026-09-16,
AIHE-PY10,10,Total Cost of AI Ownership (TCAIO) lifecycle costing,6,"Lifecycle Cost, Pricing, and Benefit Realization","6, 9",AIHE-B02,AIHE-CASE06,xlsx; py; ipynb; csv; json; md; png,V1.0,public,chapters/06/python_analytics/PY10_cost_budget,AIHE-CASE06,,AIHE-CASE06,chapters/06/python_analytics/PY10_cost_budget/python/10_tcaio_lifecycle_costing.py,chapters/06/python_analytics/PY10_cost_budget/notebook/10_tcaio_lifecycle_costing.ipynb,chapters/06/python_analytics/PY10_cost_budget/data/xlsx/10_tcaio_lifecycle_costing_template.xlsx,,chapters/06/python_analytics/PY10_cost_budget/outputs/example,2026-09-16,
