date,indicator,domain,value,subgroup,model_version,direction,warning_threshold,stop_threshold,owner,response,status
2026-01-01,Brier score,Technical,0.2473,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,WARNING
2026-04-01,Brier score,Technical,0.248,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,WARNING
2026-06-01,Brier score,Technical,0.2427,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,WARNING
2026-03-01,Complaint rate,Trust,0.0461,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2026-04-01,Complaint rate,Trust,0.05,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2026-05-01,Complaint rate,Trust,0.0516,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2026-06-01,Complaint rate,Trust,0.0474,All,v1.0,higher_is_worse,0.04,0.08,Patient engagement owner,Investigate and communicate,WARNING
2025-12-01,Cost per use,Economic,36.8995,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-01-01,Cost per use,Economic,36.5227,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-02-01,Cost per use,Economic,39.2387,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-03-01,Cost per use,Economic,37.1714,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-04-01,Cost per use,Economic,38.0762,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-05-01,Cost per use,Economic,37.4363,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2026-06-01,Cost per use,Economic,38.5243,All,v1.0,higher_is_worse,35.0,50.0,Finance owner,Renegotiate or limit scale,WARNING
2025-11-01,False alert rate,Workflow,0.2667,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2025-12-01,False alert rate,Workflow,0.2564,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-01-01,False alert rate,Workflow,0.2748,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-02-01,False alert rate,Workflow,0.2624,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-03-01,False alert rate,Workflow,0.2546,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-04-01,False alert rate,Workflow,0.2671,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-05-01,False alert rate,Workflow,0.2663,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2026-06-01,False alert rate,Workflow,0.2821,All,v1.0,higher_is_worse,0.25,0.35,Clinical owner,Change threshold and workflow,WARNING
2025-10-01,Older-adult sensitivity,Equity,0.6991,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2025-11-01,Older-adult sensitivity,Equity,0.6873,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2025-12-01,Older-adult sensitivity,Equity,0.6674,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-01-01,Older-adult sensitivity,Equity,0.6736,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-02-01,Older-adult sensitivity,Equity,0.6928,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-03-01,Older-adult sensitivity,Equity,0.693,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-04-01,Older-adult sensitivity,Equity,0.659,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-05-01,Older-adult sensitivity,Equity,0.6545,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
2026-06-01,Older-adult sensitivity,Equity,0.6434,Older adults,v1.0,lower_is_worse,0.7,0.6,Equity owner,"Mitigate, restrict, or stop",WARNING
