resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility,release_date
AIHE-B03,Benefit Realization and Capacity Conversion,4,docx; xlsx; csv; json; md; mmd; svg,"Translate claimed benefits into measurable mechanisms, owners, baselines, conversion conditions, and realized results.",V1.0,public,"4, 6, 7, 12",chapters/04/core/AIHE-B03,"Productivity, Work Redesign, and Implementation",AIHE-Z; AIHE-EX07,Core,AIHE-Z; AIHE-EX07,yes,docs/forms/AIHE-B03/index.html,yes,docs/process/resources/AIHE-B03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 4; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Prepare an economic and affordability case,default,2026-09-16
AIHE-B02,Lifecycle Cost and Pricing Record,6,docx; xlsx; csv; json; md; mmd; svg,"Record acquisition through exit costs, resource use, pricing exposure, opportunity cost, residual value, and evidence.",V1.0,public,"6, 9, 12",chapters/06/core/AIHE-B02,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-M; AIHE-EX17,Core,AIHE-M; AIHE-EX17,yes,docs/forms/AIHE-B02/index.html,yes,docs/process/resources/AIHE-B02.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 6; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Prepare an economic and affordability case,default,2026-09-16
AIHE-CASE06,"Five-Year Lifecycle Cost, Pricing, ROI, and Benefit Realization",6,xlsx; csv; json; md,"Does the proposed AI service create value after all lifecycle costs, pricing exposure, and benefit-conversion conditions are included?",V1.0,public,6,worked_examples/AIHE-CASE06_five_year_lifecycle_cost_pricing_roi_and_benefit_realization,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B01; AIHE-B02; AIHE-B; AIHE-M; AIHE-EX17; AIHE-B03; AIHE-PY10; AIHE-PY11,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 6 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-16
AIHE-CASE06B,Financial Recognition and Budget Incidence,6,xlsx; csv; json; md,"How should released capacity, avoided resource use, cashable savings, revenue, accounting treatment, and budget incidence be distinguished?",V1.0,public,6,worked_examples/AIHE-CASE06B_financial_recognition_and_budget_incidence,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B02; AIHE-B03; AIHE-PY10; AIHE-PY11,Worked case,,no,,no,,Introductory to applied,"Readers, students, analysts, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 6 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low to moderate,Explore a worked example,default,2026-09-16
AIHE-PY10,Total Cost of AI Ownership (TCAIO) lifecycle costing,6,xlsx; py; ipynb; csv; json; md; png,"Calculates one-time and recurring AI costs, discounted present value, cost per use, and optimistic/base/conservative scenarios across the full lifecycle.",V1.0,public,"6, 9",chapters/06/python_analytics/PY10_cost_budget,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B02; AIHE-CASE06,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 6; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-16
AIHE-PY11,"ROI, net benefit, and benefit-realization analysis",6,xlsx; py; ipynb; csv; json; md; png,"Calculates gross and risk-adjusted benefits, total cost, net benefit, ROI, payback period, and the effect of realization probability and attribution assumptions.",V1.0,public,"4, 6, 7",chapters/06/python_analytics/PY11_finance_value,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B03; AIHE-CASE06,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 6; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-16
AIHE-B04,"Cost-Effectiveness, Budget Impact, and HTA Record",7,docx; xlsx; csv; json; md; mmd; svg,"Summarize cost-effectiveness, affordability, distribution, HTA, reimbursement, adoption conditions, uncertainty, and recommendation.",V1.0,public,"7, 8, 9, 11",chapters/07/core/AIHE-B04,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-AA; AIHE-EX18,Core,AIHE-AA; AIHE-EX18,yes,docs/forms/AIHE-B04/index.html,yes,docs/process/resources/AIHE-B04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 7; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Prepare an economic and affordability case,default,2026-09-16
AIHE-D01,Vendor Evidence and Contract Requirements,9,docx; xlsx; csv; json; md; mmd; svg,"Translate evidence, interoperability, data, security, monitoring, update, service, remedy, portability, and exit requirements into contract terms.",V1.0,public,"6, 9, 10, 12",chapters/09/core/AIHE-D01,Problem-First Procurement and Vendor Governance,AIHE-D; AIHE-EX08; AIHE-EX09,Core,AIHE-D; AIHE-EX08; AIHE-EX09,yes,docs/forms/AIHE-D01/index.html,yes,docs/process/resources/AIHE-D01.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 9; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Evaluate and contract with a vendor,default,2026-09-16
AIHE-CASE09B,Upstream Model-Provider Change During a Vendor Contract,9,xlsx; csv; json; md,"Does a change in the underlying model or hosting dependency require disclosure, revalidation, contractual action, and reauthorization?",V1.0,public,9,worked_examples/AIHE-CASE09B_upstream_model_provider_change_during_vendor_contract,Problem-First Procurement and Vendor Governance,AIHE-D01; AIHE-D05; AIHE-D02; AIHE-PY17; AIHE-PY25; AIHE-PY40,Worked case,,no,,no,,Introductory to applied,"Readers, students, analysts, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 9 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low to moderate,Explore a worked example,default,2026-09-16
AIHE-PY17,AI pricing and contract scn analysis,9,xlsx; py; ipynb; csv; json; md; png,"Compares subscription, per-use, risk-sharing, and hybrid pricing arrangements under different volume, uptake, performance, and savings assumptions.",V1.0,public,"6, 9",chapters/09/python_analytics/PY17_pricing_contract,Problem-First Procurement and Vendor Governance,AIHE-B02; AIHE-D01; AIHE-CASE09,Python analytics,,no,,no,,Advanced,"Health economists, analysts, researchers, informatics teams, and technical reviewers",1–4 hours,"Defined model question, governed input data, and a supported Python environment","Reproducible analytical output with archived inputs, code, assumptions, and interpretation",Book Chapter 9; method knowledge; Python or Jupyter capability,When quantitative analysis is decision-relevant,Optional advanced analysis,"Python script, Jupyter notebook, and accompanying wb",High,Run an analysis,advanced,2026-09-16
