Field,Description
System name,Name and purpose of the AI system
Current version,Version currently deployed in the hospital
Proposed version,New version or update proposed by vendor or internal team
Change description,"Model, data input, threshold, user interface, integration, or output changes"
Reason for change,"Performance improvement, bug fix, regulatory requirement, workflow update, cost change"
Validation required,"Local testing, subgroup analysis, silent-mode testing, clinical safety review"
Economic effect,"Expected change in cost, workflow, avoided events, productivity, or budget impact"
Equity effect,Expected or tested effect across patient subgroups
Approval decision,"Accept, pilot, delay, reject, rollback, or retire"
Communication plan,Who must be informed and trained before implementation?
Review date,Date for post-update monitoring review
