item,baseline_or_option_a,option_b,unit,evidence_source,uncertainty_or_limit
Patient travel and access,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Local clinical and technical resources,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Central specialist capacity,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
"Computing, network, energy, water, and equipment",Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Diagnostic delay and downstream tests,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Average and marginal resource consequences,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Supported service life and realizable residual value,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Resilience and continuity,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Rebound and induced demand,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Spatial and intertemporal burden transfer,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Equity of effective access,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
Double-counting tests,Illustrative synthetic value,Illustrative synthetic value,Specify locally,Replace with authorized local source,Illustrative only
