cycle,cycle_cost,cycle_qaly,Stable,Deteriorated,Hospitalized,Dead
0,900000.0,860.0,1.0,0.0,0.0,0.0
1,1877000.0,776.6,0.78,0.13,0.06,0.03
2,2428190.0000000005,709.734,0.6416000000000001,0.18730000000000002,0.09960000000000001,0.0715
3,2683186.500000001,654.1082200000001,0.5498600000000001,0.21032700000000004,0.12101400000000001,0.11879899999999999
4,2755415.467,606.2199574000001,0.48547788000000014,0.21620501000000003,0.13014732,0.16816979
5,2722002.2493700003,563.8618335900002,0.4375314268000002,0.21326023670000005,0.1318177614,0.2173905751
6,2630853.0724683004,525.6580525434201,0.3997446916120001,0.20580847840500005,0.12922943130000003,0.26521739868300004
7,2510472.50346945,490.7418315442023,0.3684700868943601,0.19617653654431005,0.12435262894662003,0.31100074761471
8,2377391.0319097177,458.55201242390365,0.3415642905600573,0.18564283734282616,0.11835276997548122,0.3544401021216355
9,2240995.588040967,428.7101002037033,0.3177510465024677,0.17491158310547733,0.11190242544329794,0.39543494494875725
10,2106486.3771568313,400.9473508976422,0.29625642394621604,0.16436558885972485,0.10538133621634999,0.4339966509777094
