figure,chapter,chapter_title,caption,status,version,release_date,source_book_page
1.1,1,AI as a Health System Intervention,Conceptual AI intervention value chain with cross-cutting controls and continuous evaluation,Book reference; artwork not redistributed,V1.0,2026-09-16,10
1.2,1,AI as a Health System Intervention,Conceptual pathway from technical potential to realized hospital value,Book reference; artwork not redistributed,V1.0,2026-09-16,16
1.3,1,AI as a Health System Intervention,Conceptual resource allocation frontier illustrating opportunity cost in AI adoption,Book reference; artwork not redistributed,V1.0,2026-09-16,18
2.1,2,Institutional Readiness and Digital Foundations,Layered institutional capabilities supporting AI readiness,Book reference; artwork not redistributed,V1.0,2026-09-16,37
2.2,2,Institutional Readiness and Digital Foundations,Health data governance lifecycle for responsible secondary use,Book reference; artwork not redistributed,V1.0,2026-09-16,44
3.1,3,Human–AI Decision Systems and Managerial Action,AI-mediated decision architecture,Book reference; artwork not redistributed,V1.0,2026-09-16,57
3.2,3,Human–AI Decision Systems and Managerial Action,Decision latency from signal generation to review and response within a meaningful decision window,Book reference; artwork not redistributed,V1.0,2026-09-16,68
4.1,4,"Productivity, Work Redesign, and Implementation",From gross task time saving to net usable capacity in AI-assisted work,Book reference; artwork not redistributed,V1.0,2026-09-16,78
4.2,4,"Productivity, Work Redesign, and Implementation",VALIDATE-AI staged implementation pathway,Book reference; artwork not redistributed,V1.0,2026-09-16,89
5.1,5,"Quality Management, Accreditation, and Organizational Learning","Illustrative statistical process control chart showing the detection of abnormal variation, investigation, and recovery following corrective action",Book reference; artwork not redistributed,V1.0,2026-09-16,106
5.2,5,"Quality Management, Accreditation, and Organizational Learning",From quality surveillance to organizational learning,Book reference; artwork not redistributed,V1.0,2026-09-16,111
6.1,6,"Lifecycle Cost, Pricing, and Benefit Realization",Lifecycle cost architecture of AI ownership,Book reference; artwork not redistributed,V1.0,2026-09-16,123
6.2,6,"Lifecycle Cost, Pricing, and Benefit Realization",Illustrative timing of lifecycle costs and recognized financial benefits,Book reference; artwork not redistributed,V1.0,2026-09-16,134
7.1,7,"Economic Evaluation, Affordability, and Health Technology Assessment",Cost-effectiveness plane for incremental costs and outcomes,Book reference; artwork not redistributed,V1.0,2026-09-16,144
7.2,7,"Economic Evaluation, Affordability, and Health Technology Assessment",Illustrative annual and cumulative budget impact following adoption,Book reference; artwork not redistributed,V1.0,2026-09-16,147
7.3,7,"Economic Evaluation, Affordability, and Health Technology Assessment",From economic evidence to an adoption decision,Book reference; artwork not redistributed,V1.0,2026-09-16,157
8.1,8,"Decision Modelling, Simulation, and the Value of Information",Illustrative one-way sensitivity analysis for an AI-enabled service,Book reference; artwork not redistributed,V1.0,2026-09-16,173
8.2,8,"Decision Modelling, Simulation, and the Value of Information",From decision uncertainty to research value using value of information analysis,Book reference; artwork not redistributed,V1.0,2026-09-16,177
9.1,9,Problem-First Procurement and Vendor Governance,Procurement and vendor governance gates from market specification to renewal or exit,Book reference; artwork not redistributed,V1.0,2026-09-16,192
10.1,10,"Governance, Accountability, and Institutional Risk",Institutional accountability architecture for AI-enabled health services,Book reference; artwork not redistributed,V1.0,2026-09-16,219
10.2,10,"Governance, Accountability, and Institutional Risk",Equity assurance matrix for AI-enabled health services,Book reference; artwork not redistributed,V1.0,2026-09-16,226
11.1,11,"Evidence, Validation, and Real-World Evaluation",Escalating evidentiary claims for AI-enabled health services,Book reference; artwork not redistributed,V1.0,2026-09-16,239
11.2,11,"Evidence, Validation, and Real-World Evaluation",Illustrative decision curve analysis for readmission risk prediction,Book reference; artwork not redistributed,V1.0,2026-09-16,246
11.3,11,"Evidence, Validation, and Real-World Evaluation",From model output to causal intervention effect,Book reference; artwork not redistributed,V1.0,2026-09-16,252
12.1,12,Decision Architecture and Lifecycle Governance,AI-HEVG integrative assessment architecture,Book reference; artwork not redistributed,V1.0,2026-09-16,274
12.2,12,Decision Architecture and Lifecycle Governance,AI Health Economics Dossier (AI-HED) as a living decision provenance record,Book reference; artwork not redistributed,V1.0,2026-09-16,277
12.3,12,Decision Architecture and Lifecycle Governance,Institutional decision states and lifecycle transition triggers,Book reference; artwork not redistributed,V1.0,2026-09-16,280
12.4,12,Decision Architecture and Lifecycle Governance,Controlled production pathway for generative and agentic AI,Book reference; artwork not redistributed,V1.0,2026-09-16,287
12.5,12,Decision Architecture and Lifecycle Governance,"AI de-adoption, replacement, and retirement pathway",Book reference; artwork not redistributed,V1.0,2026-09-16,289
