record_id,resource_id,resource_version,release_date,section,field_or_question,guidance,response_or_evidence,owner,due_or_review_date,evidence_cut_off,local_modifications,intervention_version
,AIHE-E04,V1.0,2026-09-02,Decision scope,"Decision problem, perspective, comparators, population, and time horizon",Define the institutional decision.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Functional equivalence,Service function and common functional unit,Compare alternatives delivering the same useful service.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Boundaries,Economic and environmental system boundaries and differences,Reconcile before analysis.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Resource consequences,Physical effects by lifecycle stage and evidence source,Preserve provenance.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Average and marginal,Average footprint and marginal consequence of the decision,Do not substitute one for the other.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Monetisation,"Effect, physical unit, valuation method, monetised amount, and reason if not monetised",Keep non-monetised consequences visible.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Residual value,Realizable economic and material residual value,Avoid double counting with avoided cost.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Resilience,"Continuity, recovery, redundancy, and supply-chain consequences",Treat as a consequence where decision-relevant.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Double counting,"Potential overlap, rule applied, and final treatment",Apply explicit accounting rules.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Rebound and burden transfer,"Induced demand, spatial transfer, intertemporal transfer, and affected groups",Report distribution.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Uncertainty,"Scenario, parameter, structural, and valuation uncertainty",Test preference reversal.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-E04,V1.0,2026-09-02,Decision,"Disaggregated results, safeguards, preferred option, and rationale",Do not force complete monetisation.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
