stage,stage_name,recommended_preceding_records,primary_resources,supporting_resources,typical_output,decision_gate
1,Define the decision,None — this stage initiates the decision.,AIHE-A01; AIHE-A02,AIHE-RG07; AIHE-CASE01,Approved decision and use-case specification with decision rights and an evidence plan.,Is the problem sufficiently important and specified to justify further assessment?
2,Assess readiness and data,AIHE-A01; AIHE-A02,AIHE-A03; AIHE-A04,AIHE-CASE02; AIHE-A; AIHE-U,"Readiness profile, remediation plan, data-provenance record, and decision on whether to strengthen foundations or continue.",Are critical prerequisites adequate for the intended level of consequence and dependence?
3,Establish evidence and quality requirements,AIHE-A01; AIHE-A03; AIHE-A04,AIHE-C01; AIHE-C02; AIHE-EX05; AIHE-RG02; AIHE-RG06,AIHE-CASE05; AIHE-CASE11; AIHE-V,"Evidence plan, local-validation specification, monitoring indicators, acceptance thresholds, and corrective-action route.","Is the planned evidence proportionate to intended use, uncertainty, and consequence?"
4,"Model cost, value, affordability, and HTA",AIHE-A01; AIHE-A03; AIHE-A04,AIHE-B01; AIHE-B02; AIHE-B03; AIHE-B04,AIHE-CASE06; AIHE-CASE07; AIHE-B; AIHE-M,"Economic specification, lifecycle cost model, benefit-realization register, affordability profile, and conditional economic recommendation.",Does the intervention have a defensible value proposition and a financeable path under realistic scenarios?
5,Select the decision model and characterize uncertainty,AIHE-A01; AIHE-B01; AIHE-B02; AIHE-B04,AIHE-B05; AIHE-RG05,AIHE-CASE08; AIHE-EX04; AIHE-EX06; AIHE-EX15; AIHE-EX16,"Model specification, reproducibility record, uncertainty analysis, research priorities, and decision thresholds.","Is model complexity justified, credible, reproducible, and decision-relevant?"
6,Assess governance and institutional risk,AIHE-A01; AIHE-A02; AIHE-A04,AIHE-C03; AIHE-C04; AIHE-C05; AIHE-RG04,AIHE-CASE10; AIHE-AB; AIHE-AC; AIHE-N,"Integrated institutional-risk review, accountability matrix, transparency record, safeguards, and escalation authority.",Are mandatory safeguards satisfied and are residual risks explicitly owned and governable?
7,Procure and contract,AIHE-A01; AIHE-B02; AIHE-B04; AIHE-C03,AIHE-D01,AIHE-CASE09; AIHE-D; AIHE-EX08; AIHE-EX09,"Procurement specification, vendor comparison, contractual requirements, price and volume conditions, acceptance tests, and exit position.","Can the institution enforce the evidence, monitoring, change, continuity, and exit conditions required for safe use?"
8,"Implement, monitor, and control change",AIHE-D01; AIHE-D02; AIHE-C01,AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05; AIHE-RG03,AIHE-CASE04; AIHE-CASE12; AIHE-EX10; AIHE-EX11; AIHE-EX12,"Staged implementation record, monitoring cadence, incident record, change-control record, benefit evidence, and updated decision dossier.","Does real-world use remain within approved performance, safety, workload, equity, cost, and governance conditions?"
9,Apply circular and sustainable-value analysis,AIHE-A01; AIHE-B01; AIHE-D01,AIHE-E01; AIHE-E02; AIHE-E03; AIHE-E04; AIHE-E05,AIHE-CASE13; AIHE-CASE14; AIHE-CASE15; AIHE-CE1; AIHE-CE2; AIHE-CE6,"Circularity assessment, asset-option appraisal, circularity-adjusted evaluation, disposition plan, and sustainable-value dashboard.","Does the preferred option preserve health-system value while controlling material, environmental, resilience, and disposition burdens?"
10,Assemble the decision record and renew or retire,AIHE-D02; AIHE-C03; AIHE-B01; AIHE-D05,AIHE-D02; AIHE-D05; AIHE-P; AIHE-AE,AIHE-C03; AIHE-E03; AIHE-E04; AIHE-E05; AIHE-PY29; AIHE-CASE12,"Versioned AI-HED or equivalent decision dossier, final recommendation, review date, renewal or de-adoption decision, and transition record.","Is continuing use still preferable to redesign, restriction, replacement, or retirement under current evidence and alternatives?"
