Section,Owner,Status: complete / pending / N/A,Version / date,Key unresolved issue,Linked appendix
1. Executive decision summary,Named project owner,Conditional,,,
"2. Problem, intended use, population, workflow, comparator",Named project owner,Conditional,,,
3. External evidence and critical appraisal,Named project owner,Conditional,,,
"4. Data, infrastructure, interoperability, security",Named project owner,Conditional,,,
5. Local validation and human-factors evidence,Named project owner,Conditional,,,
6. TCAIO and economic evaluation,Named project owner,Conditional,,,
"7. Ethics, TAV, EWAHE, privacy, patient/public evidence",Named project owner,Conditional,,,
"8. Procurement, vendor, and contract review",Named project owner,Conditional,,,
9. VALIDATE-AI implementation plan,Named project owner,Conditional,,,
10. Algorithmovigilance and incident plan,Named project owner,Conditional,,,
"11. Update, renewal, and de-adoption plan",Named project owner,Conditional,,,
"12. Decision record, conditions, owners, dissent, review date",Named project owner,Conditional,,,
