Memo section,Content to include
Project title,Name of the AI system and hospital department
Problem statement,"The clinical, managerial, or operational problem the AI system addresses"
Comparator,Usual care or alternative investment option
Target population,"Patients, staff, departments, or processes affected"
Expected value mechanism,"How the AI system is expected to improve outcomes, efficiency, quality, or access"
Evidence summary,"Validation evidence, implementation evidence, local data-readiness findings"
Cost summary,"Procurement, integration, training, monitoring, maintenance, and cybersecurity costs"
Ethical and equity risks,"Fairness, access, patient trust, transparency, human oversight, and accountability issues"
Implementation pathway,"Retrospective testing, silent mode, pilot, evaluation, scaling, and monitoring"
Decision requested,"Adopt, pilot, modify, delay, reject, or decommission"
Conditions of approval,"Monitoring indicators, review date, stop criteria, and responsible owners"
