Dossier section,Required content
1. Problem definition,"Hospital problem, affected population, workflow, and current pain points"
2. AI use case,"Description of the AI intervention, intended users, and intended decisions"
3. Comparator,Usual care or realistic alternative intervention
4. Evidence base,"Technical, clinical, implementation, and economic evidence"
5. Data readiness,"Data sources, quality, interoperability, representativeness, legal use"
6. Economic evaluation,"Cost inventory, ROI, CEA, BIA, uncertainty, and sensitivity analysis"
7. Ethical governance,"Accountability, transparency, fairness, oversight, consent, public value"
8. Privacy and cybersecurity,"Data protection, access controls, incident response, continuity plan"
9. Equity impact,"Who may benefit, who may be excluded, subgroup performance, mitigation"
10. Implementation plan,"Pilot, validation, training, communication, scaling, and monitoring"
11. Future-proofing plan,"Lifecycle monitoring, change control, update criteria, decommissioning triggers"
12. Final recommendation,"Adopt, pilot, modify, delay, reject, or decommission"
