resource_id,title,role,primary_chapter,tier,folder
AIHE-E01,Circular-Economy and Sustainable-AI Assessment,primary,13,Core,chapters/13/core/AIHE-E01
AIHE-E02,Circular Procurement and Supplier Scorecard,primary,14,Core,chapters/14/core/AIHE-E02
AIHE-E03,Supported Supported Asset-Life Decision Record,primary,14,Core,chapters/14/core/AIHE-E03
AIHE-E04,Circularity-Adjusted Evaluation Record,primary,15,Core,chapters/15/core/AIHE-E04
AIHE-E05,"Environmental, Circularity, and Disposition Dashboard",primary,15,Core,chapters/15/core/AIHE-E05
AIHE-CASE13,Circular AI Infrastructure Strategy,supporting,13,Worked case,worked_examples/CASE13_circular_infra
AIHE-CASE14,"Imaging Platform: Maintain, Refurbish, Replace, or Share",supporting,14,Worked case,worked_examples/CASE14_asset_options
AIHE-CASE15,"AI-Assisted Remote Diagnostic Pathway: Circularity-Adjusted Economic Evaluation",supporting,15,Worked case,worked_examples/CASE15_legacy_edge_cloud
AIHE-CE1,Circular Economy and Sustainable AI Assessment,supporting,13,Supplemental specialist tool,chapters/13/core/AIHE-E01/supp/AIHE-CE1
AIHE-CE2,Circular Procurement and Supplier Scorecard,supporting,14,Supplemental specialist tool,chapters/14/core/AIHE-E02/supp/AIHE-CE2
AIHE-CE6,Circularity-Adjusted Evaluation Record,supporting,15,Supplemental specialist tool,chapters/15/core/AIHE-E04/supp/AIHE-CE6
