priority,scope,resources_or_paths,required_change,reason
P0,Global,catalogs; CONTENTS; README; chapter pages; metadata,Replace all legacy chapter-title strings with the revised fifteen-chapter titles and update section descriptions.,The existing companion catalog use several earlier chapter titles and a broader Chapter 12 framework package.
P0,Global,figures; catalogs; docs; process maps; alt text,Adopt a 31-figure active registry; move 27 former figures to an archive or migration layer and remove them from active chapter navigation.,The revised book reduces the principal figure set from 58 to 31.
P0,Global,tables; catalogs; docs; forms,Adopt a 46-table active registry; remove 16 former tables from active book cross-references and preserve their useful content only in companion tools.,The revised book reduces the principal table set from 62 to 46.
P0,Global,all hyperlinks and citations,"Replace hard-coded book page links with chapter, section or stable resource identifiers.",The new book is 30 pages longer and page locations have shifted.
P0,Chapter 12,AIHE-D02,"Retitle and redesign as Lifecycle Decision State, Staged Evidence, and AI-HED Status. Add intervention identity, current decision state, effective date, conditions, unresolved uncertainty, trigger status, next review and decision history.",The revised Chapter 12 treats authorization as a current state rather than a permanent approval.
P0,Chapter 12,AIHE-D05,"Expand to Material Change, Reauthorization, Renewal, Replacement, and Retirement Record. Add version identity, changed component, materiality rationale, evidence invalidated, transition decision, continuity plan, and end-of-authorization record.",Material change and renewal are now explicit lifecycle decisions.
P0,Chapter 12,AIHE-PY29,"Replace any aggregate completeness score as the primary output with a provenance audit: missing authoritative records, stale evidence, unresolved triggers, conflicting versions, absent authority and overdue review.",The revised book emphasizes integration without aggregation and non-compensatory safeguards.
P0,Chapter 15,AIHE-CASE15; AIHE-PY38; AIHE-E04/E05,Replace the remote diagnostic pathway principal case with an AI-assisted remote diagnostic pathway. Preserve the former case only as an archived optional variant.,The applied case in the revised book has changed.
P0,Chapter 15,AIHE-E04,"Add reconciled economic/environmental boundaries, common functional unit, average versus marginal consequences, monetisation status, residual value, resilience, double-counting controls, incomplete-monetisation display, rebound and burden transfer.",These are central analytical distinctions in the revised chapter.
P0,Chapter 14,AIHE-E03; AIHE-PY37,"Add eligibility-before-economics, supported service life, forms of obsolescence, dependency bottlenecks, equivalent annual cost, realizable residual value, decision thresholds and closure conditions.",The revised asset-life analysis is materially more rigorous.
P1,Chapter 6,AIHE-B02; AIHE-B03; AIHE-CASE06; AIHE-PY10/PY11,"Separate economic cost, cash expenditure and accounting expense; identify budget incidence; distinguish observed change from financially recognized benefit; add NPV, ROI, payback, downside scenarios and renewal/exit.","The financial chapter now distinguishes value, budget and accounting effects."
P1,Chapter 8,AIHE-B05; AIHE-CASE08; AIHE-PY14/PY15,"Add explicit AI model characteristics, uncertainty categories, threshold analysis, EVPI, EVPPI where supported, EVSI, ENBS, research cost, and a research-design recommendation.",The revised chapter gives greater prominence to value of information and research design.
P1,Chapter 9,AIHE-D01; AIHE-CASE09; AIHE-PY17/PY25,"Add continuing supplier disclosure, version-matched claims, upstream dependencies, audit rights, obligation register, post-award escalation and renewal as a new commercial decision.",Procurement governance now extends beyond award.
P1,Chapter 11,evidence records; CASE11; PY04/PY05/PY24/PY30/PY31/PY32,"For each analysis, state the evidentiary claim, suitable design, result, assumptions, what can be established and what remains unresolved. Add estimand and re-evaluation trigger fields.","The revised chapter separates predictive validity, decision utility and causal effect."
P1,Chapter 13,AIHE-E01; CASE13; PY36/PY39,"Add stocks, inflows, outflows, inner/outer loops, circular leakage, functional units, resource intensity, rebound, induced demand, spatial burden and distributional consequences.",The revised chapter expands resource accounting and burden shifting.
P1,Chapter 4,AIHE-B03; CASE04; PY22/PY23/PY28,"Add task denominator, gross and net labour saving, quality adjustment, fragmentation, bottleneck, downstream workload, capacity usability, capacity destination, work intensity and persistence.",The revised productivity logic is service-level rather than task-time alone.
P1,Chapter 5,AIHE-C01/C02; CASE05; PY02,"Link every monitoring signal to an owner, triage decision, escalation time, investigation, CAPA, effectiveness check, closure authority and institutional-learning action.",The revised chapter makes closure dependent on evidence of effectiveness.
P1,Chapter 10,AIHE-C03/C04/C05; CASE10,"Add residual-risk authority, answerability, contestability, assurance independence, conflict declarations, dissent, patient/public communication, reauthorization and legitimacy evidence.",The governance chapter is now more explicitly institutional and authority-centred.
P1,Chapter 3,AIHE-C04; CASE03/CASE03B,"Represent the sequence from context and evidence through AI signal, human interpretation, decision right, action, outcome and feedback. Add signal, interpretation and action latency.",The new chapter architecture differs from the old delegation/dashboard split.
P1,Chapter 2,AIHE-A03/A04; CASE02; PY01/PY03/PY33,"Replace generic maturity conclusions with a use-case readiness decision, critical dependency register, remediation decision, pilot-appropriate uncertainty, and conditions that make deployment premature.",The revised chapter rejects readiness as a permanent institutional label.
P2,Chapter 1,AIHE-A01/A02; CASE01; RG07,"Update terminology to complete intervention, realistic comparator, option value, reversible adoption and integrated decision conditions. Remove references to old Tables 1.4–1.6 and Figure 1.4.",The revised chapter consolidates introductory instruments.
P2,Chapter 7,AIHE-B04; CASE07; PY12/PY13/PY16,"Add efficiency-frontier reporting, threshold-specific NMB, transferability, annual and cumulative budget impact, budget-holder timing, distribution, HTA translation and local adoption decision.",The revised chapter sharpens the distinction among economic and institutional decisions.
P2,Global,worked examples and synthetic data,"Retain the synthetic-data declaration on every case, workbook, chart and browser demonstration; label numerical outputs illustrative unless linked to a documented source.",The book expressly states that companion worked examples and demonstration data are synthetic unless otherwise stated.
P2,Global,all editable records,"Record stable identifier, title, version, release date, access date, evidence cut-off, local modifications, intervention version and accountable owner.",The revised Digital Resource Companion note specifies these citation and version fields.
P2,Website,docs,"Add a revision note, figure/table migration page, revised chapter map, worked-example changes, Python change log, and redirects or explanatory stubs for retired visual IDs.",Readers need a coherent path from older links and printed references to the new edition.
P2,Bundles,bundles/core forms; bundles/core workbooks,"Regenerate consolidated forms and workbooks after source-level changes; update cover sheets, contents, chapter names, instructions, validation lists, formulas, print areas and cross-references.",The bundle files are public entry points and must not lag behind source records.
P2,Release engineering,manifests; checksums; inventories; version files,"Increment the companion release, regenerate inventories and SHA-256 checksums, and distinguish source-compatible migrations from breaking changes.",The current release metadata describes V1.0 packages and will become inaccurate after revision.
