item,response,status,owner,evidence_date,confidence,section,complete,owner_missing,confidence_numeric
Hospital problem,Reduce avoidable readmissions,complete,Executive sponsor,2026-06-01,0.95,Use_Case,True,False,0.95
Comparator,Usual discharge pathway,complete,Clinical sponsor,2026-06-01,0.95,Use_Case,True,False,0.95
Excluded uses,No autonomous treatment decisions,complete,Clinical sponsor,2026-06-02,0.9,Use_Case,True,False,0.9
External validation,Two multicentre studies reviewed,complete,Evidence lead,2026-06-10,0.75,Evidence,True,False,0.75
Local validation,Retrospective validation pending,pending,Data science owner,,0.35,Evidence,False,False,0.35
Subgroup evidence,Older-adult analysis incomplete,pending,Equity owner,,0.4,Evidence,False,False,0.4
TCAIO,Five-year base case completed,complete,Finance lead,2026-06-15,0.8,Economics,True,False,0.8
Budget impact,Funding source unresolved,pending,Finance lead,,0.5,Economics,False,False,0.5
Threshold analysis,Price threshold documented,complete,HTA lead,2026-06-17,0.8,Economics,True,False,0.8
Privacy review,Completed with conditions,approved,Privacy officer,2026-06-18,0.85,Governance,True,False,0.85
Cybersecurity review,Penetration test planned,pending,Security lead,,0.45,Governance,False,False,0.45
Human oversight,Named clinical owner and fallback,complete,Clinical owner,2026-06-20,0.9,Governance,True,False,0.9
Pilot plan,Three-month staged pilot,complete,Implementation lead,2026-06-21,0.85,Implementation,True,False,0.85
Training plan,Role-based training drafted,complete,Education lead,2026-06-21,0.8,Implementation,True,False,0.8
Benefit realization,Capacity owner not assigned,pending,,,0.3,Implementation,False,True,0.3
Performance thresholds,"AUC, calibration and alerts specified",complete,Data science owner,2026-06-22,0.85,Monitoring,True,False,0.85
Equity thresholds,Draft only,pending,Equity owner,,0.45,Monitoring,False,False,0.45
De-adoption trigger,Defined in contract appendix,complete,Governance committee,2026-06-23,0.75,Monitoring,True,False,0.75
