scope,priority,required_action
docs,P0,"Replace chapter titles and chapter-map descriptions throughout HTML, JSON data and navigation."
docs,P0,Update active visual registry to 31 figures and active table registry to 46 tables.
docs,P0,Add migration/redirect pages for retired figure and table IDs so old links fail gracefully.
docs,P0,Replace the Chapter 15 principal worked-case page with the remote diagnostic pathway; archive the edge/cloud/shared case as an optional historical variant.
docs,P1,Add a 'Revision alignment' page explaining that resources follow the revised 412-page edition and are cited by stable resource ID rather than page.
docs,P1,"Update Python Analytics pages for EVSI/ENBS, lifecycle trigger outputs, asset-life eligibility/EAC and remote-diagnostic circularity analysis."
docs,P1,"Update search index, catalog JSON, related-resource panels, process maps, alt text and breadcrumbs."
docs,P1,"Validate every internal link, anchor, downloadable file, browser form and JavaScript syntax after regeneration."
bundles,P0,Regenerate the consolidated 24-core-form bundle after source records are revised; do not hand-edit only the combined file.
bundles,P0,Regenerate the consolidated wb bundle after source wb changes; preserve formula-driven logic and validation lists.
bundles,P1,"Update bundle cover sheets, contents, chapter titles, version information, completion guidance, synthetic-data notice and stable identifiers."
bundles,P1,"Add revised D02, D05, E03 and E04 sheets/sections and replace the CASE15-linked worked material."
release,P0,"Increment version, regenerate file inventory, release manifest and SHA-256 checksums, and run structural/office/HTML/Python validation."
release,P1,Preserve a migration crosswalk and changelog; do not silently delete stable IDs when an archived alias can protect existing citations.
