time_period,treated_group,outcome
1,0,79.98233333333333
1,1,80.861
2,0,80.30533333333332
2,1,81.29633333333332
3,0,80.329
3,1,81.01366666666667
4,0,80.08266666666667
4,1,81.87733333333334
5,0,81.17366666666666
5,1,81.90633333333334
6,0,81.175
6,1,82.13566666666667
7,0,81.35533333333333
7,1,77.15933333333334
8,0,81.13233333333332
8,1,77.74566666666666
9,0,82.09233333333333
9,1,78.61200000000001
10,0,82.85
10,1,79.29899999999999
11,0,82.93499999999999
11,1,79.03933333333333
12,0,83.244
12,1,79.57166666666667
