Lifecycle domain,Checklist question,Evidence or document
Problem definition,"Is the hospital problem clearly defined, and is AI necessary?","Illustrative response for Problem definition: evidence documented, limitations noted, and an accountable owner assigned."
Comparator,What is the realistic alternative to AI?,"Illustrative response for Comparator: evidence documented, limitations noted, and an accountable owner assigned."
Data readiness,"Are data complete, representative, interoperable, and legally usable?","Illustrative response for Data readiness: evidence documented, limitations noted, and an accountable owner assigned."
Validation,Has the model been tested locally and across relevant subgroups?,"Illustrative response for Validation: evidence documented, limitations noted, and an accountable owner assigned."
Economic evaluation,"Are lifecycle costs, benefits, and uncertainty assessed?","Illustrative response for Economic evaluation: evidence documented, limitations noted, and an accountable owner assigned."
Ethical governance,"Are accountability, fairness, transparency, and human oversight defined?","Illustrative response for Ethical governance: evidence documented, limitations noted, and an accountable owner assigned."
Implementation,Is there a staged implementation plan with training and workflow redesign?,"Illustrative response for Implementation: evidence documented, limitations noted, and an accountable owner assigned."
Monitoring,"Are performance, cost, equity, workflow, and safety indicators monitored?","Illustrative response for Monitoring: evidence documented, limitations noted, and an accountable owner assigned."
Updating,"Are model changes documented, validated, and approved?","Illustrative response for Updating: evidence documented, limitations noted, and an accountable owner assigned."
Decommissioning,Are stopping rules and exit procedures defined?,"Illustrative response for Decommissioning: evidence documented, limitations noted, and an accountable owner assigned."
