vendor,domain,score,weight,evidence_confidence,safeguard_pass,comment,weighted_score,confidence_adjusted_score
Vendor Alpha,Problem relevance and intended use,82,15,0.85,True,Illustrative synthetic evidence review,12.3,10.455
Vendor Alpha,Clinical and technical evidence,76,20,0.85,True,Illustrative synthetic evidence review,15.2,12.92
Vendor Alpha,Data and interoperability,74,15,0.85,True,Illustrative synthetic evidence review,11.1,9.434999999999999
Vendor Alpha,Lifecycle economics,70,15,0.85,True,Illustrative synthetic evidence review,10.5,8.924999999999999
Vendor Alpha,Workflow and workforce,78,10,0.85,True,Illustrative synthetic evidence review,7.8,6.63
Vendor Alpha,"Privacy, cybersecurity, and equity",72,15,0.85,True,Illustrative synthetic evidence review,10.8,9.18
Vendor Alpha,"Contract, monitoring, and exit",68,10,0.85,True,Illustrative synthetic evidence review,6.8,5.779999999999999
Vendor Beta,Problem relevance and intended use,75,15,0.85,True,Illustrative synthetic evidence review,11.25,9.5625
Vendor Beta,Clinical and technical evidence,84,20,0.85,True,Illustrative synthetic evidence review,16.8,14.28
Vendor Beta,Data and interoperability,66,15,0.85,True,Illustrative synthetic evidence review,9.9,8.415000000000001
Vendor Beta,Lifecycle economics,64,15,0.85,True,Illustrative synthetic evidence review,9.6,8.16
Vendor Beta,Workflow and workforce,72,10,0.85,True,Illustrative synthetic evidence review,7.2,6.12
Vendor Beta,"Privacy, cybersecurity, and equity",80,15,0.85,True,Illustrative synthetic evidence review,12.0,10.2
Vendor Beta,"Contract, monitoring, and exit",78,10,0.85,True,Illustrative synthetic evidence review,7.8,6.63
Vendor Gamma,Problem relevance and intended use,88,15,0.7,True,Illustrative synthetic evidence review,13.2,9.239999999999998
Vendor Gamma,Clinical and technical evidence,58,20,0.7,True,Illustrative synthetic evidence review,11.6,8.12
Vendor Gamma,Data and interoperability,82,15,0.7,True,Illustrative synthetic evidence review,12.3,8.61
Vendor Gamma,Lifecycle economics,86,15,0.7,True,Illustrative synthetic evidence review,12.9,9.03
Vendor Gamma,Workflow and workforce,60,10,0.7,True,Illustrative synthetic evidence review,6.0,4.199999999999999
Vendor Gamma,"Privacy, cybersecurity, and equity",55,15,0.7,False,Illustrative synthetic evidence review,8.25,5.7749999999999995
Vendor Gamma,"Contract, monitoring, and exit",48,10,0.7,True,Illustrative synthetic evidence review,4.8,3.36
