Section,Owner,Status: complete / pending / N/A,Version / date,Key unresolved issue,Linked appendix
1. Executive decision summary,,,,,
"2. Problem, intended use, population, workflow, comparator",,,,,
3. External evidence and critical appraisal,,,,,
"4. Data, infrastructure, interoperability, security",,,,,
5. Local validation and human-factors evidence,,,,,
6. TCAIO and economic evaluation,,,,,
"7. Ethics, TAV, EWAHE, privacy, patient/public evidence",,,,,
"8. Procurement, vendor, and contract review",,,,,
9. VALIDATE-AI implementation plan,,,,,
10. Algorithmovigilance and incident plan,,,,,
"11. Update, renewal, and de-adoption plan",,,,,
"12. Decision record, conditions, owners, dissent, review date",,,,,
