date,indicator,domain,value,subgroup,model_version,direction,warning_threshold,stop_threshold,owner,response,status
2025-01-01,AUC,Technical,0.7781,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-02-01,AUC,Technical,0.7763,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-03-01,AUC,Technical,0.7512,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-04-01,AUC,Technical,0.7678,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-05-01,AUC,Technical,0.7542,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-06-01,AUC,Technical,0.7518,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-07-01,AUC,Technical,0.7527,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-08-01,AUC,Technical,0.7573,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-09-01,AUC,Technical,0.7686,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-10-01,AUC,Technical,0.7446,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-11-01,AUC,Technical,0.7493,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-12-01,AUC,Technical,0.7283,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2026-01-01,AUC,Technical,0.7413,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2026-02-01,AUC,Technical,0.7203,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2026-03-01,AUC,Technical,0.7289,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2026-04-01,AUC,Technical,0.7295,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2026-05-01,AUC,Technical,0.7236,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2026-06-01,AUC,Technical,0.7246,All,v1.0,lower_is_worse,0.7,0.62,Data science owner,Review model and data; restrict if stop,OK
2025-01-01,Brier score,Technical,0.1924,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
2025-02-01,Brier score,Technical,0.18,All,v1.0,higher_is_worse,0.24,0.3,Data science owner,Recalibrate or suspend,OK
