record_id,resource_id,resource_version,release_date,section,field_or_question,guidance,response_or_evidence,owner,due_or_review_date,evidence_cut_off,local_modifications,intervention_version
,AIHE-D02,V1.0,2026-09-16,Decision identity,"Intervention, product, model, configuration, data, workflow, and version",A decision must have a stable identity.,,,,,,
,AIHE-D02,V1.0,2026-09-16,Current state,Under consideration; Evaluation authorized; Conditional use; Authorized use; Restricted use; Paused or suspended; Retired or superseded,Authorization is a current state.,,,,,,
,AIHE-D02,V1.0,2026-09-16,Implementation activity,"Retrospective study, silent evaluation, restricted pilot, phased rollout, or routine service",Record this separately from the current permission state; an activity does not itself authorize use.,,,,,,
,AIHE-D02,V1.0,2026-09-16,State scope,"Population, setting, users, functions, exclusions, and effective date",Define the boundary of authorization.,,,,,,
,AIHE-D02,V1.0,2026-09-16,Conditions,"Mandatory safeguards, use conditions, and unresolved uncertainty",Do not collapse specialist evidence into one score.,,,,,,
,AIHE-D02,V1.0,2026-09-16,Evidence status,Authoritative evidence records and evidence cut-off,Link the state to current evidence.,,,,,,
,AIHE-D02,V1.0,2026-09-16,Triggers,"Open monitoring, incident, change, contract, cost, equity, or support triggers",State default response.,,,,,,
,AIHE-D02,V1.0,2026-09-16,Authority,"Decision authority, dissent, conflicts, and decision date",Preserve provenance.,,,,,,
,AIHE-D02,V1.0,2026-09-16,Review,Next review date and evidence required,Keep the judgement current.,,,,,,
,AIHE-D02,V1.0,2026-09-16,History,"Previous state, transition date, reason, evidence, and authority",Maintain a versioned decision history.,,,,,,
