time,survival,at_risk,events,group
0.0,1.0,196,0,AI
0.06,0.9948979591836735,196,1,AI
0.16,0.989795918367347,195,1,AI
0.2,0.9846938775510206,194,1,AI
0.24,0.9744897959183675,193,2,AI
0.25,0.969387755102041,191,1,AI
0.26,0.9642857142857144,190,1,AI
0.34,0.9591836734693878,189,1,AI
0.4,0.9540816326530612,188,1,AI
0.41,0.9489795918367346,187,1,AI
0.45,0.9438775510204082,186,1,AI
0.5,0.9387755102040817,185,1,AI
0.51,0.9336734693877551,184,1,AI
0.55,0.9285714285714286,183,1,AI
0.63,0.9234693877551021,182,1,AI
0.65,0.9183673469387756,181,1,AI
0.69,0.9132653061224492,180,1,AI
0.74,0.9081632653061226,179,1,AI
0.83,0.903061224489796,178,1,AI
0.89,0.8979591836734695,177,1,AI
1.02,0.8928571428571429,176,1,AI
1.26,0.8877551020408164,175,1,AI
1.27,0.8775510204081634,174,2,AI
1.3,0.8724489795918368,172,1,AI
1.44,0.8673469387755103,171,1,AI
1.56,0.8622448979591838,170,1,AI
1.57,0.8571428571428572,169,1,AI
1.6,0.8520408163265307,168,1,AI
1.63,0.8469387755102041,167,1,AI
1.73,0.8418367346938777,166,1,AI
1.78,0.8367346938775511,165,1,AI
1.81,0.8316326530612246,164,1,AI
1.82,0.8265306122448981,163,1,AI
1.94,0.8214285714285715,162,1,AI
2.04,0.8163265306122449,161,1,AI
2.11,0.8112244897959184,160,1,AI
2.18,0.806122448979592,159,1,AI
2.2,0.8010204081632654,158,1,AI
2.26,0.7959183673469389,157,1,AI
2.37,0.7908163265306124,156,1,AI
2.56,0.7857142857142858,155,1,AI
2.65,0.7806122448979593,154,1,AI
2.87,0.7755102040816328,153,1,AI
3.05,0.7704081632653064,152,1,AI
3.1,0.7653061224489798,151,1,AI
3.17,0.7602040816326532,150,1,AI
3.2,0.7551020408163267,149,1,AI
3.3,0.7500000000000001,148,1,AI
3.4,0.7448979591836735,147,1,AI
3.57,0.7397959183673469,146,1,AI
3.79,0.7346938775510203,145,1,AI
3.86,0.7295918367346939,144,1,AI
4.08,0.7244897959183674,143,1,AI
4.11,0.7142857142857143,142,2,AI
4.27,0.7090719499478624,137,1,AI
4.28,0.7038581856100105,136,1,AI
4.3,0.6986444212721585,135,1,AI
4.34,0.6934306569343066,134,1,AI
4.55,0.688137293140915,131,1,AI
4.77,0.6828028955196676,129,1,AI
4.83,0.6774684978984201,128,1,AI
4.87,0.6720917637881152,126,1,AI
4.97,0.6667150296778103,125,1,AI
5.01,0.6613382955675053,124,1,AI
5.21,0.6558726898190136,121,1,AI
5.22,0.6504070840705218,120,1,AI
5.43,0.6448480491639362,117,1,AI
5.45,0.6392890142573506,116,1,AI
5.8,0.6335810766300529,112,1,AI
5.82,0.6278731390027551,111,1,AI
5.87,0.6221652013754574,110,1,AI
6.44,0.6160655425384431,102,1,AI
6.51,0.6098426582703781,99,1,AI
6.52,0.603619774002313,98,1,AI
6.54,0.597396889734248,97,1,AI
6.59,0.5911740054661829,96,1,AI
6.72,0.5849511211981179,95,1,AI
6.78,0.5787282369300528,94,1,AI
6.98,0.5724377126155957,92,1,AI
7.25,0.5660772935865336,90,1,AI
7.46,0.5595706580280677,87,1,AI
7.68,0.5529091025753526,84,1,AI
7.79,0.5459102531756647,79,1,AI
7.84,0.5388205096279287,77,1,AI
7.91,0.531636236166223,75,1,AI
8.12,0.5241484018540227,71,1,AI
8.39,0.5165520482039644,69,1,AI
8.58,0.5087255020190559,66,1,AI
8.72,0.5005202519864904,62,1,AI
8.75,0.49231500195392497,61,1,AI
8.78,0.4841097519213595,60,1,AI
8.95,0.47590450188879413,59,1,AI
8.98,0.4676992518562287,58,1,AI
9.03,0.45949400182366323,57,1,AI
9.41,0.4508243036760469,53,1,AI
9.87,0.44180781760252597,50,1,AI
9.97,0.432791331529005,49,1,AI
10.33,0.4235830053262602,47,1,AI
10.71,0.4141700496523433,45,1,AI
11.13,0.40453818803252134,43,1,AI
11.59,0.3944247333317083,40,1,AI
11.98,0.3837646054038243,37,1,AI
12.01,0.3731044774759403,36,1,AI
12.23,0.36244434954805627,35,1,AI
13.39,0.3503628712297877,30,1,AI
13.43,0.3382813929115192,29,1,AI
14.49,0.3247501371950584,25,1,AI
15.41,0.3106305660126646,23,1,AI
15.73,0.2958386342977758,21,1,AI
0.0,1.0,204,0,Usual care
0.01,0.9950980392156863,204,1,Usual care
0.03,0.9901960784313726,203,1,Usual care
0.05,0.9852941176470589,202,1,Usual care
0.07,0.9803921568627452,201,1,Usual care
0.08,0.9754901960784315,200,1,Usual care
0.11,0.9705882352941178,199,1,Usual care
0.2,0.965686274509804,198,1,Usual care
0.24,0.9607843137254903,197,1,Usual care
0.29,0.9558823529411766,196,1,Usual care
0.39,0.9509803921568629,195,1,Usual care
0.43,0.9460784313725492,194,1,Usual care
0.44,0.9411764705882355,193,1,Usual care
0.52,0.9362745098039218,192,1,Usual care
0.54,0.9313725490196081,191,1,Usual care
0.63,0.9264705882352944,190,1,Usual care
0.76,0.9215686274509806,189,1,Usual care
0.77,0.9166666666666669,188,1,Usual care
0.86,0.9117647058823531,187,1,Usual care
0.87,0.9068627450980394,186,1,Usual care
0.98,0.897058823529412,185,2,Usual care
1.05,0.8921568627450983,183,1,Usual care
1.11,0.8872549019607846,182,1,Usual care
1.12,0.8823529411764709,181,1,Usual care
1.14,0.8774509803921572,180,1,Usual care
1.15,0.8725490196078434,179,1,Usual care
1.16,0.8676470588235297,178,1,Usual care
1.19,0.862745098039216,177,1,Usual care
1.2,0.8578431372549021,176,1,Usual care
1.21,0.8529411764705884,175,1,Usual care
1.37,0.8480392156862746,174,1,Usual care
1.46,0.8431372549019608,173,1,Usual care
1.55,0.8382352941176471,172,1,Usual care
1.61,0.8333333333333334,171,1,Usual care
1.63,0.8284313725490197,170,1,Usual care
1.64,0.823529411764706,169,1,Usual care
1.65,0.8186274509803922,168,1,Usual care
1.67,0.8137254901960784,167,1,Usual care
1.77,0.8088235294117647,166,1,Usual care
1.79,0.803921568627451,165,1,Usual care
1.86,0.7990196078431373,164,1,Usual care
1.87,0.7941176470588236,163,1,Usual care
1.99,0.7892156862745099,162,1,Usual care
2.0,0.7843137254901962,161,1,Usual care
2.02,0.7794117647058825,160,1,Usual care
2.03,0.7745098039215688,159,1,Usual care
2.17,0.769607843137255,158,1,Usual care
2.21,0.7647058823529413,157,1,Usual care
2.24,0.7598039215686276,156,1,Usual care
2.38,0.7549019607843139,155,1,Usual care
2.39,0.7500000000000002,154,1,Usual care
2.6,0.7450980392156865,153,1,Usual care
2.66,0.7401960784313728,152,1,Usual care
2.84,0.7352941176470591,151,1,Usual care
2.91,0.7303921568627454,150,1,Usual care
2.93,0.7254901960784317,149,1,Usual care
3.04,0.720588235294118,148,1,Usual care
3.12,0.7156862745098043,147,1,Usual care
3.18,0.7107843137254906,146,1,Usual care
3.21,0.7058823529411768,145,1,Usual care
3.22,0.7009803921568631,144,1,Usual care
3.23,0.6960784313725494,143,1,Usual care
3.26,0.6911764705882357,142,1,Usual care
3.29,0.686274509803922,141,1,Usual care
3.41,0.6764705882352946,140,2,Usual care
3.56,0.6715686274509809,138,1,Usual care
3.58,0.6666666666666672,137,1,Usual care
3.79,0.6617647058823535,136,1,Usual care
3.94,0.6568627450980398,135,1,Usual care
3.96,0.6519607843137261,134,1,Usual care
4.01,0.6470588235294122,133,1,Usual care
4.02,0.6421568627450985,132,1,Usual care
4.06,0.6372549019607848,131,1,Usual care
4.07,0.6323529411764711,130,1,Usual care
4.25,0.6274509803921574,129,1,Usual care
4.3,0.6225490196078437,128,1,Usual care
4.37,0.61764705882353,127,1,Usual care
4.51,0.6076040172166434,123,2,Usual care
4.55,0.6025824964132,121,1,Usual care
4.56,0.5975609756097567,120,1,Usual care
4.59,0.5925394548063134,119,1,Usual care
4.62,0.5875179340028701,118,1,Usual care
4.63,0.5824964131994268,117,1,Usual care
4.64,0.5774748923959835,116,1,Usual care
4.73,0.5723644951181429,113,1,Usual care
4.79,0.5672080582251866,111,1,Usual care
4.8,0.5568951844392741,110,2,Usual care
4.98,0.5516414562841866,106,1,Usual care
5.45,0.5461796596873134,101,1,Usual care
5.5,0.5407178630904402,100,1,Usual care
5.63,0.5352560664935672,99,1,Usual care
5.73,0.529794269896694,98,1,Usual care
5.97,0.5243324732998209,97,1,Usual care
6.05,0.5188706767029478,96,1,Usual care
6.06,0.5134088801060747,95,1,Usual care
6.22,0.5023678289209978,93,2,Usual care
6.28,0.49684730332845944,91,1,Usual care
6.49,0.49132677773592104,90,1,Usual care
6.8,0.48574351889801287,88,1,Usual care
6.94,0.4799608579587508,84,1,Usual care
7.16,0.4741076767641319,82,1,Usual care
7.38,0.4681813308045803,80,1,Usual care
7.48,0.4622549848450287,79,1,Usual care
7.53,0.4563286388854771,78,1,Usual care
7.81,0.45016203565729496,74,1,Usual care
7.83,0.4439954324291128,73,1,Usual care
7.84,0.4377419756343366,71,1,Usual care
7.85,0.43148851883956035,70,1,Usual care
8.09,0.4252350620447841,69,1,Usual care
8.15,0.4189816052500079,68,1,Usual care
8.4,0.41272814845523165,67,1,Usual care
8.44,0.4064746916604554,66,1,Usual care
8.6,0.4001235246032608,64,1,Usual care
8.92,0.3935641225605844,61,1,Usual care
9.05,0.38700472051790796,60,1,Usual care
9.15,0.3803322253365647,58,1,Usual care
9.35,0.3735405784555546,56,1,Usual care
9.5,0.36662316033600734,54,1,Usual care
9.68,0.35970574221646,53,1,Usual care
9.71,0.3527883240969127,52,1,Usual care
9.87,0.34587090597736536,51,1,Usual care
10.45,0.338351973238727,46,1,Usual care
10.93,0.3308330405000886,45,1,Usual care
11.23,0.32331410776145025,44,1,Usual care
12.33,0.31542839781604903,41,1,Usual care
13.31,0.3071276505051004,38,1,Usual care
13.52,0.2985963268799587,36,1,Usual care
13.59,0.290065003254817,35,1,Usual care
13.87,0.2812751546713377,33,1,Usual care
13.91,0.2722017625851655,31,1,Usual care
14.09,0.2631283704989933,30,1,Usual care
14.77,0.25260323567903353,25,1,Usual care
14.84,0.2420781008590738,24,1,Usual care
14.86,0.23155296603911407,23,1,Usual care
15.14,0.22052663432296576,21,1,Usual care
16.78,0.20477473187132536,14,1,Usual care
16.98,0.18771017088204825,12,1,Usual care
18.22,0.16685348522848734,9,1,Usual care
21.57,0.13348278818278989,5,1,Usual care
