resource_id,module_number,title,primary_chapter,primary_chapter_title,additional_chapters,related_core_resources,related_case,formats,version,status,folder,primary_related_case,additional_related_cases,related_cases,script_path,notebook_path,xlsx_template_path,ods_template_path,example_outputs_path,release_date,safeguard
AIHE-PY01,01,"Data quality, fitness-for-purpose, and mapping audit",2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04; AIHE-B05,AIHE-CASE02,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/02/py/PY01_data_quality,AIHE-CASE02,,AIHE-CASE02,chapters/02/py/PY01_data_quality/python/01_data_quality_and_mapping.py,chapters/02/py/PY01_data_quality/notebook/01_data_quality_and_mapping.ipynb,chapters/02/py/PY01_data_quality/data/xlsx/01_data_quality_and_mapping_template.xlsx,,chapters/02/py/PY01_data_quality/outputs/example,2026-09-02,
AIHE-PY02,02,Descriptive statistics and visual comparisons,5,"Quality Management, Accreditation, and Organizational Learning","3, 5, 11",AIHE-C01,AIHE-CASE05,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/05/py/PY02_descriptive,AIHE-CASE05,,AIHE-CASE05,chapters/05/py/PY02_descriptive/python/02_descriptive_statistics_and_visuals.py,chapters/05/py/PY02_descriptive/notebook/02_descriptive_statistics_and_visuals.ipynb,chapters/05/py/PY02_descriptive/data/xlsx/02_descriptive_statistics_and_visuals_template.xlsx,,chapters/05/py/PY02_descriptive/outputs/example,2026-09-02,
AIHE-PY03,03,Missing-data sensitivity analysis,2,Institutional Readiness and Digital Foundations,"2, 11",AIHE-A04; AIHE-B05,AIHE-CASE02,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/02/py/PY03_missing_data,AIHE-CASE02,,AIHE-CASE02,chapters/02/py/PY03_missing_data/python/03_missing_data_sensitivity.py,chapters/02/py/PY03_missing_data/notebook/03_missing_data_sensitivity.ipynb,chapters/02/py/PY03_missing_data/data/xlsx/03_missing_data_sensitivity_template.xlsx,,chapters/02/py/PY03_missing_data/outputs/example,2026-09-02,
AIHE-PY04,04,Predictive model development: logistic regression and random forest,11,"Evidence, Validation, and Real-World Evaluation","3, 11",AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/11/py/PY04_model_dev,AIHE-CASE11,,AIHE-CASE11,chapters/11/py/PY04_model_dev/python/04_predictive_model_comparison.py,chapters/11/py/PY04_model_dev/notebook/04_predictive_model_comparison.ipynb,chapters/11/py/PY04_model_dev/data/xlsx/04_predictive_model_comparison_template.xlsx,,chapters/11/py/PY04_model_dev/outputs/example,2026-09-02,
AIHE-PY05,05,"Model performance, threshold trade-offs, and calibration",11,"Evidence, Validation, and Real-World Evaluation","3, 11",AIHE-B05,AIHE-CASE11,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/11/py/PY05_performance,AIHE-CASE11,,AIHE-CASE11,chapters/11/py/PY05_performance/python/05_performance_and_calibration.py,chapters/11/py/PY05_performance/notebook/05_performance_and_calibration.ipynb,chapters/11/py/PY05_performance/data/xlsx/05_performance_and_calibration_template.xlsx,,chapters/11/py/PY05_performance/outputs/example,2026-09-02,
AIHE-PY06,06,Decision-curve analysis,3,Human–AI Decision Systems and Managerial Action,"3, 7, 11",AIHE-C04; AIHE-B05,AIHE-CASE03,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/03/py/PY06_decision_curve,AIHE-CASE03,,AIHE-CASE03,chapters/03/py/PY06_decision_curve/python/06_decision_curve_analysis.py,chapters/03/py/PY06_decision_curve/notebook/06_decision_curve_analysis.ipynb,chapters/03/py/PY06_decision_curve/data/xlsx/06_decision_curve_analysis_template.xlsx,,chapters/03/py/PY06_decision_curve/outputs/example,2026-09-02,
AIHE-PY07,07,Feature importance and partial-dependence exploration,10,"Governance, Accountability, and Institutional Risk","3, 10, 11",AIHE-C03,AIHE-CASE10,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/10/py/PY07_feature_importance,AIHE-CASE10,,AIHE-CASE10,chapters/10/py/PY07_feature_importance/python/07_feature_importance_explainability.py,chapters/10/py/PY07_feature_importance/notebook/07_feature_importance_explainability.ipynb,chapters/10/py/PY07_feature_importance/data/xlsx/07_feature_importance_explainability_template.xlsx,,chapters/10/py/PY07_feature_importance/outputs/example,2026-09-02,
AIHE-PY08,08,Subgroup performance and equity audit,10,"Governance, Accountability, and Institutional Risk","7, 10, 11, 15",AIHE-C03,AIHE-CASE10,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/10/py/PY08_equity_audit,AIHE-CASE10,,AIHE-CASE10,chapters/10/py/PY08_equity_audit/python/08_subgroup_equity_audit.py,chapters/10/py/PY08_equity_audit/notebook/08_subgroup_equity_audit.ipynb,chapters/10/py/PY08_equity_audit/data/xlsx/08_subgroup_equity_audit_template.xlsx,,chapters/10/py/PY08_equity_audit/outputs/example,2026-09-02,
AIHE-PY09,09,Temporal validation and drift monitoring,12,Decision Architecture and Lifecycle Governance,"11, 12",AIHE-D03; AIHE-D05; AIHE-B05,AIHE-CASE12,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/12/py/PY09_drift,AIHE-CASE12,,AIHE-CASE12,chapters/12/py/PY09_drift/python/09_temporal_validation_and_drift.py,chapters/12/py/PY09_drift/notebook/09_temporal_validation_and_drift.ipynb,chapters/12/py/PY09_drift/data/xlsx/09_temporal_validation_and_drift_template.xlsx,,chapters/12/py/PY09_drift/outputs/example,2026-09-02,
AIHE-PY10,10,Total Cost of AI Ownership (TCAIO) lifecycle costing,6,"Lifecycle Cost, Pricing, and Benefit Realization","6, 9, 14, 15",AIHE-B02,AIHE-CASE06,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/06/py/PY10_cost_budget,AIHE-CASE06,,AIHE-CASE06,chapters/06/py/PY10_cost_budget/python/10_tcaio_lifecycle_costing.py,chapters/06/py/PY10_cost_budget/notebook/10_tcaio_lifecycle_costing.ipynb,chapters/06/py/PY10_cost_budget/data/xlsx/10_tcaio_lifecycle_costing_template.xlsx,,chapters/06/py/PY10_cost_budget/outputs/example,2026-09-02,
AIHE-PY11,11,"ROI, net benefit, and benefit-realization analysis",6,"Lifecycle Cost, Pricing, and Benefit Realization","4, 6, 7",AIHE-B03,AIHE-CASE06,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/06/py/PY11_finance_value,AIHE-CASE06,,AIHE-CASE06,chapters/06/py/PY11_finance_value/python/11_roi_benefit_realization.py,chapters/06/py/PY11_finance_value/notebook/11_roi_benefit_realization.ipynb,chapters/06/py/PY11_finance_value/data/xlsx/11_roi_benefit_realization_template.xlsx,,chapters/06/py/PY11_finance_value/outputs/example,2026-09-02,
AIHE-PY12,12,"Cost-effectiveness, ICER, and net monetary benefit",7,"Economic Evaluation, Affordability, and Health Technology Assessment","7, 8, 15",AIHE-B04,AIHE-CASE07,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/07/py/PY12_cost_effect,AIHE-CASE07,,AIHE-CASE07,chapters/07/py/PY12_cost_effect/python/12_cost_effectiveness_icer_nmb.py,chapters/07/py/PY12_cost_effect/notebook/12_cost_effectiveness_icer_nmb.ipynb,chapters/07/py/PY12_cost_effect/data/xlsx/12_cost_effectiveness_icer_nmb_template.xlsx,,chapters/07/py/PY12_cost_effect/outputs/example,2026-09-02,
AIHE-PY13,13,Multiyear budget-impact analysis,7,"Economic Evaluation, Affordability, and Health Technology Assessment","6, 7, 8",AIHE-B04,AIHE-CASE07,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/07/py/PY13_budget_impact,AIHE-CASE07,,AIHE-CASE07,chapters/07/py/PY13_budget_impact/python/13_budget_impact_analysis.py,chapters/07/py/PY13_budget_impact/notebook/13_budget_impact_analysis.ipynb,chapters/07/py/PY13_budget_impact/data/xlsx/13_budget_impact_analysis_template.xlsx,,chapters/07/py/PY13_budget_impact/outputs/example,2026-09-02,
AIHE-PY14,14,Deterministic sensitivity and tornado analysis,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05; AIHE-RG05,AIHE-CASE08,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/08/py/PY14_sensitivity,AIHE-CASE08,,AIHE-CASE08,chapters/08/py/PY14_sensitivity/python/14_deterministic_sensitivity_tornado.py,chapters/08/py/PY14_sensitivity/notebook/14_deterministic_sensitivity_tornado.ipynb,chapters/08/py/PY14_sensitivity/data/xlsx/14_deterministic_sensitivity_tornado_template.xlsx,,chapters/08/py/PY14_sensitivity/outputs/example,2026-09-02,
AIHE-PY15,15,"Probabilistic sensitivity analysis, CEAC, and EVPI",8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05; AIHE-RG05,AIHE-CASE08,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/08/py/PY15_psa_voi,AIHE-CASE08,,AIHE-CASE08,chapters/08/py/PY15_psa_voi/python/15_probabilistic_sensitivity_ceac_evpi.py,chapters/08/py/PY15_psa_voi/notebook/15_probabilistic_sensitivity_ceac_evpi.ipynb,chapters/08/py/PY15_psa_voi/data/xlsx/15_probabilistic_sensitivity_ceac_evpi_template.xlsx,,chapters/08/py/PY15_psa_voi/outputs/example,2026-09-02,
AIHE-PY16,16,Distributional cost-effectiveness and equity-weighted analysis,7,"Economic Evaluation, Affordability, and Health Technology Assessment","7, 10, 15",AIHE-B04; AIHE-C03,AIHE-CASE07,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/07/py/PY16_distributional,AIHE-CASE07,,AIHE-CASE07,chapters/07/py/PY16_distributional/python/16_distributional_cost_effectiveness.py,chapters/07/py/PY16_distributional/notebook/16_distributional_cost_effectiveness.ipynb,chapters/07/py/PY16_distributional/data/xlsx/16_distributional_cost_effectiveness_template.xlsx,,chapters/07/py/PY16_distributional/outputs/example,2026-09-02,
AIHE-PY17,17,AI pricing and contract scn analysis,9,Problem-First Procurement and Vendor Governance,"6, 9",AIHE-B02; AIHE-D01,AIHE-CASE09,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/09/py/PY17_pricing_contract,AIHE-CASE09,,AIHE-CASE09,chapters/09/py/PY17_pricing_contract/python/17_ai_pricing_contract_scenarios.py,chapters/09/py/PY17_pricing_contract/notebook/17_ai_pricing_contract_scenarios.ipynb,chapters/09/py/PY17_pricing_contract/data/xlsx/17_ai_pricing_contract_scenarios_template.xlsx,,chapters/09/py/PY17_pricing_contract/outputs/example,2026-09-02,
AIHE-PY18,18,Decision-tree pathway model,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05,AIHE-CASE08,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/08/py/PY18_decision_tree,AIHE-CASE08,,AIHE-CASE08,chapters/08/py/PY18_decision_tree/python/18_decision_tree_pathway.py,chapters/08/py/PY18_decision_tree/notebook/18_decision_tree_pathway.ipynb,chapters/08/py/PY18_decision_tree/data/xlsx/18_decision_tree_pathway_template.xlsx,,chapters/08/py/PY18_decision_tree/outputs/example,2026-09-02,
AIHE-PY19,19,Markov cohort model for long-term AI evaluation,8,"Decision Modelling, Simulation, and the Value of Information",8,AIHE-B05,AIHE-CASE08,py; ipynb; xlsx; csv; json; png; md,V1.0,public,chapters/08/py/PY19_markov,AIHE-CASE08,,AIHE-CASE08,chapters/08/py/PY19_markov/python/19_markov_cohort_model.py,chapters/08/py/PY19_markov/notebook/19_markov_cohort_model.ipynb,chapters/08/py/PY19_markov/data/xlsx/19_markov_cohort_model_template.xlsx,,chapters/08/py/PY19_markov/outputs/example,2026-09-02,
