Parameter,Value,Unit
Usual-care cost per patient,1200,currency
AI-pathway cost per patient,1450,currency
Usual-care QALYs,0.74,QALY
AI-pathway QALYs,0.77,QALY
Willingness-to-pay threshold,50000,currency/QALY
Eligible population,3000,patients
Year-1 uptake,0.3,proportion
Year-2 uptake,0.6,proportion
Year-3 uptake,0.8,proportion
Implementation cost,300000,currency
Annual fixed programme cost,100000,currency
Variable monitoring cost,250,currency/patient
Avoided admission rate,0.05,admissions/patient
Cost per admission,5000,currency
