table,chapter,chapter_title,caption,status,version,release_date
1,Front matter,How to Use This Book,Suggested pathways through the book,Current principal book table,V1.0,2026-09-02
2,Front matter,How to Use This Book,The five-part decision architecture,Current principal book table,V1.0,2026-09-02
1.1,1,AI as a Health-System Intervention,Core questions for evaluating AI as a health-system intervention,Current principal book table,V1.0,2026-09-02
1.2,1,AI as a Health-System Intervention,"AI use patterns, value mechanisms, and evidence priorities",Current principal book table,V1.0,2026-09-02
1.3,1,AI as a Health-System Intervention,"Technical, clinical, economic, and managerial value",Current principal book table,V1.0,2026-09-02
1.4,1,AI as a Health-System Intervention,Common AI decision failures and corrective disciplines,Current principal book table,V1.0,2026-09-02
2.1,2,Institutional Readiness and Digital Foundations,Common data-quality problems and their institutional consequences,Current principal book table,V1.0,2026-09-02
3.1,3,Human–AI Decision Systems and Managerial Action,Decision-right configurations for AI-enabled decision support,Current principal book table,V1.0,2026-09-02
3.2,3,Human–AI Decision Systems and Managerial Action,Managerial signal failure modes and design responses,Current principal book table,V1.0,2026-09-02
4.1,4,"Productivity, Work Redesign, and Implementation",From AI-enabled task savings to usable service capacity,Current principal book table,V1.0,2026-09-02
4.2,4,"Productivity, Work Redesign, and Implementation",Workforce effects to consider when AI changes the organization of work,Current principal book table,V1.0,2026-09-02
4.3,4,"Productivity, Work Redesign, and Implementation",Matching implementation resources to analytical questions,Current principal book table,V1.0,2026-09-02
5.1,5,"Quality Management, Accreditation, and Organizational Learning",Distinct roles of institutional quality and assurance functions,Current principal book table,V1.0,2026-09-02
5.2,5,"Quality Management, Accreditation, and Organizational Learning","Quality signals, surveillance, and escalation in an AI-enabled service",Current principal book table,V1.0,2026-09-02
6.1,6,"Lifecycle Cost, Pricing, and Benefit Realization",Lifecycle cost categories and sources of financial evidence,Current principal book table,V1.0,2026-09-02
6.2,6,"Lifecycle Cost, Pricing, and Benefit Realization","Pricing structures, financial exposure, and contractual controls",Current principal book table,V1.0,2026-09-02
6.3,6,"Lifecycle Cost, Pricing, and Benefit Realization",Benefit categories and their treatment in the institutional financial case,Current principal book table,V1.0,2026-09-02
7.1,7,"Economic Evaluation, Affordability, and Health Technology Assessment",Economic analyses and the decision questions they address,Current principal book table,V1.0,2026-09-02
7.2,7,"Economic Evaluation, Affordability, and Health Technology Assessment",Economic evidence across decision layers,Current principal book table,V1.0,2026-09-02
8.1,8,"Decision Modelling, Simulation, and the Value of Information",Selecting a modelling structure from the dominant feature of the decision problem,Current principal book table,V1.0,2026-09-02
8.2,8,"Decision Modelling, Simulation, and the Value of Information",AI characteristics that may require explicit representation in a decision model,Current principal book table,V1.0,2026-09-02
8.3,8,"Decision Modelling, Simulation, and the Value of Information",Forms of uncertainty and appropriate analytical responses,Current principal book table,V1.0,2026-09-02
8.4,8,"Decision Modelling, Simulation, and the Value of Information",Evidence required to establish model credibility,Current principal book table,V1.0,2026-09-02
9.1,9,Problem-First Procurement and Vendor Governance,Supplier disclosure and contractual evidence schedule,Current principal book table,V1.0,2026-09-02
9.2,9,Problem-First Procurement and Vendor Governance,Illustrative scored award criteria following mandatory eligibility screening,Current principal book table,V1.0,2026-09-02
9.3,9,Problem-First Procurement and Vendor Governance,Renegotiation and exit options for an incumbent AI service,Current principal book table,V1.0,2026-09-02
