Cost layer,Resource item,Quantity,Unit cost,Year(s),Base case,Low,High,Budget owner,Evidence source
Acquisition,,,0,,,,,Named project owner,"Illustrative response for Acquisition: evidence documented, limitations noted, and an accountable owner assigned."
Integration/infrastructure,,,0,,,,,Named project owner,"Illustrative response for Integration/infrastructure: evidence documented, limitations noted, and an accountable owner assigned."
Data preparation/governance,,,0,,,,,Named project owner,"Illustrative response for Data preparation/governance: evidence documented, limitations noted, and an accountable owner assigned."
Workforce/training/review,,,0,,,,,Named project owner,"Illustrative response for Workforce/training/review: evidence documented, limitations noted, and an accountable owner assigned."
Ethics/legal/quality/audit,,,0,,,,,Named project owner,"Illustrative response for Ethics/legal/quality/audit: evidence documented, limitations noted, and an accountable owner assigned."
Cybersecurity/resilience,,,0,,,,,Named project owner,"Illustrative response for Cybersecurity/resilience: evidence documented, limitations noted, and an accountable owner assigned."
Monitoring/revalidation/updates,,,0,,,,,Named project owner,"Illustrative response for Monitoring/revalidation/updates: evidence documented, limitations noted, and an accountable owner assigned."
Incident/contingency reserve,,,0,,,,,Named project owner,"Illustrative response for Incident/contingency reserve: evidence documented, limitations noted, and an accountable owner assigned."
Opportunity cost,,,0,,,,,Named project owner,"Illustrative response for Opportunity cost: evidence documented, limitations noted, and an accountable owner assigned."
Exit/decommissioning,,,0,,,,,Named project owner,"Illustrative response for Exit/decommissioning: evidence documented, limitations noted, and an accountable owner assigned."
