resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility,release_date
AIHE-A01,Decision and Use-Case Specification,1,docx; xlsx; csv; json; md; mmd; svg; png,"Define the service problem, full intervention, realistic comparators, outcomes, value mechanism, decision rule, and review cycle.",V1.0,public,"1, 2, 3",chapters/01/core/AIHE-A01,AI as a Health-System Intervention,AIHE-W; AIHE-X,Core,AIHE-W; AIHE-X,yes,docs/forms/AIHE-A01/index.html,yes,docs/process/resources/AIHE-A01.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 1; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Define a new proposal,default,2026-09-02
AIHE-A02,"Stakeholders, Decision Rights, and Participation",1,docx; xlsx; csv; json; md; mmd; svg; png,"Identify affected parties, decision rights, participation duties, evidence contributions, and escalation authority.",V1.0,public,"1, 3, 10, 12",chapters/01/core/AIHE-A02,AI as a Health-System Intervention,AIHE-EX01,Core,AIHE-EX01,yes,docs/forms/AIHE-A02/index.html,yes,docs/process/resources/AIHE-A02.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 1; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Define a new proposal,default,2026-09-02
AIHE-RG07,Common AI Adoption Failures and Corrective Actions,1,docx; xlsx; csv; json; md,"Identify recurring technology-led, economic, workflow, evidence, governance, procurement, and lifecycle failures and record preventive controls.",V1.0,public,1-12,chapters/01/guides/AIHE-RG07,AI as a Health-System Intervention,,Reference guide,,yes,docs/forms/AIHE-RG07/index.html,yes,docs/process/resources/AIHE-RG07.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 1 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX, or spreadsheet",Low to moderate,Consult a reference guide,default,2026-09-02
AIHE-CASE00,Common Case-Analysis Method,1,md; docx; xlsx; csv; json,"Provide a consistent problem-first, evidence, economic, governance, and lifecycle method for analysing worked and local cases.",V1.0,public,1-15,worked_examples/00_case_method,AI as a Health-System Intervention,AIHE-A01; AIHE-B01; AIHE-C03; AIHE-D02; AIHE-E01,Case-analysis method,,no,,no,,Introductory,All readers using worked or local cases,20–40 minutes,A defined institutional question or selected worked case,Structured case-analysis plan,None,Before beginning a case,Recommended,Guide and editable template,Low,Explore a worked example,default,2026-09-02
AIHE-CASE01,Emergency-Department Triage Portfolio Decision,1,md; csv; json; xlsx,"Which intervention should the hospital test first when AI, staffing, and process redesign compete for the same limited resources?",V1.0,public,1,worked_examples/CASE01_triage,AI as a Health-System Intervention,AIHE-A01; AIHE-W; AIHE-X; AIHE-EX01; AIHE-K; AIHE-H,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 1 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-02
AIHE-EX01,Project Intake and Stakeholder Register,1,docx; xlsx; csv; json; md; mmd; svg; png,"Capture the initiating problem, project scope, accountable owners, affected groups, and decision rights.",V1.0,optional,"1,9,12",chapters/01/core/AIHE-A02/supp/AIHE-EX01,AI as a Health-System Intervention,AIHE-A02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX01.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 1,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-W,AI Use-Case Canvas,1,docx; xlsx; csv; json; md; mmd; svg; png,"Define the problem, population, intended users, intervention bundle, comparator, outcomes, and initial risks.",V1.0,optional,"1,9,12",chapters/01/core/AIHE-A01/supp/AIHE-W,AI as a Health-System Intervention,AIHE-A01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-W.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 1,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-X,Decision Problem Template,1,docx; xlsx; csv; json; md; mmd; svg; png,"Specify population, intervention, comparator, outcomes, perspective, setting, time horizon, and decision rule.",V1.0,optional,"1,6,7,8,12",chapters/01/core/AIHE-A01/supp/AIHE-X,AI as a Health-System Intervention,AIHE-A01,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-X.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 1,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-02
AIHE-A03,Institutional Readiness Assessment,2,docx; xlsx; csv; json; md; mmd; svg; png,"Assess strategic, data, infrastructure, workflow, workforce, quality, economic, governance, procurement, and sustainability readiness.",V1.0,public,"2, 4, 5, 9, 10, 12",chapters/02/core/AIHE-A03,Institutional Readiness and Digital Foundations,AIHE-A; AIHE-L,Core,AIHE-A; AIHE-L,yes,docs/forms/AIHE-A03/index.html,yes,docs/process/resources/AIHE-A03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 2; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Define a new proposal,default,2026-09-02
AIHE-A04,"Data Source, Provenance, and Fitness Record",2,docx; xlsx; csv; json; md; mmd; svg; png,"Document source and derived data assets, authority, definitions, transformations, quality, lineage, monitoring, and remediation.",V1.0,public,"2, 8, 11, 12",chapters/02/core/AIHE-A04,Institutional Readiness and Digital Foundations,AIHE-EX03; AIHE-Y; AIHE-U,Core,AIHE-EX03; AIHE-Y; AIHE-U,yes,docs/forms/AIHE-A04/index.html,yes,docs/process/resources/AIHE-A04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 2; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Define a new proposal,default,2026-09-02
