chapter,old_title,new_title,substantive_change,companion_action
1,AI as a Health-System Intervention,AI as a Health-System Intervention,"The chapter remains the conceptual foundation, but the revised edition removes three adjacent checklist/sequence tables and the threshold NMB figure. It places greater emphasis on option value, reversible adoption, and a single integrated managerial decision rule.",Update chapter titles only where older companion materials use 'AI as a Health-System Intervention'. Reconcile core records A01/A02 and CASE01 with the revised terminology; retire active links to old Figure 1.4 and Tables 1.4–1.6.
2,Institutional Readiness and Digital Foundations,Institutional Readiness and Digital Foundations,The revised chapter is more explicitly use-case-specific. Broad digital-transformation and portfolio illustrations are reduced; the active visual set is limited to layered readiness and the data-governance lifecycle. The chapter culminates in a documented readiness decision rather than a maturity score.,"Revise A03/A04, CASE02, chapter pages, and data-readiness forms so that critical dependencies, unresolved limitations, ownership, and the decision to proceed/remediate/pilot/defer are explicit. Remove active figure links to old Figures 2.1, 2.2, 2.4, and 2.6."
3,Human–AI Decision Systems and Managerial Action,Human–AI Decision Systems and Managerial Action,"The revised edition is organized around decision architecture, appropriate reliance, decision rights, meaningful oversight, collective sensemaking, and decision latency. The delegation spectrum and dashboard pathway are replaced by a more integrated decision architecture.","Retitle chapter metadata. Revise C04, CASE03/CASE03B and PY06/PY21/PY34/PY35 navigation to distinguish information, judgement, authority, action, feedback, and the closing decision window."
4,"Productivity, Work Redesign, and Implementation","Productivity, Work Redesign, and Implementation","The revision distinguishes task efficiency, net labour saving, usable capacity, service productivity, bottlenecks, work redistribution, work intensification, and deliberate allocation of released capacity. Generic barrier/strategy material is reduced.","Retitle metadata. Revise B03, RG03, CASE04, PY22, PY23, and PY28. Add fields for fragmentation, downstream bottlenecks, work transfer, quality adjustment, capacity destination, and persistence."
5,"Quality Management, Accreditation, and Organizational Learning","Quality Management, Accreditation, and Organizational Learning","The revised chapter strengthens surveillance, signal recognition, escalation, incident investigation, CAPA, effectiveness verification, closure, institutional memory, and recurrence prevention.","Retitle metadata. Revise C01/C02, CASE05 and PY02 outputs so monitoring produces an assigned response, closure evidence, and a learning action. Replace old accreditation-to-learning and lifecycle diagrams with the revised SPC and learning figures."
6,"Lifecycle Cost, Pricing, and Benefit Realization","Lifecycle Cost, Pricing, and Benefit Realization","The revision adds explicit distinctions among economic cost, cash expenditure, and accounting expense; budget incidence; financial recognition; NPV, ROI and payback; downside exposure; and renewal, renegotiation, and exit.","Substantively revise B01/B02/B03, CASE06, PY10, and PY11. Workbooks must separate cash-flow timing from economic resource use and must not recognize released capacity as a cash saving without a specified mechanism."
7,"Economic Evaluation, Affordability, and Health Technology Assessment","Economic Evaluation, Affordability, and Health Technology Assessment","The revised chapter expands the efficiency frontier, NMB, transferability, distribution, reporting, HTA translation, and the jurisdictional illustration of European joint assessment.","Spell out the chapter title in metadata. Revise B04, CASE07, PY12/PY13/PY16, and website text. Separate cost-effectiveness, budget impact, affordability, reimbursement, and local adoption."
8,Decision Modelling, Simulation, and the Value of Information,"Decision Modelling, Simulation, and the Value of Information","The revised chapter explicitly represents AI characteristics in models, classifies uncertainty, develops deterministic and probabilistic analysis, and gives greater weight to EVPI, EVSI, ENBS, research design, and model credibility.","Retitle metadata. Revise B05, RG05, CASE08, PY14/PY15/PY18/PY19/PY20. Add EVSI/ENBS and research-design outputs; ensure one-way sensitivity and VOI graphics match the new figures."
9,Problem-First Procurement and Vendor Governance,Problem-First Procurement and Vendor Governance,"The revision recasts procurement around information asymmetry, incomplete contracts, continuing supplier disclosure, due diligence rights, upstream dependencies, post-award obligation registers, renewal as a new commercial decision, renegotiation, and credible exit.","Substantively revise D01/D05, CASE09, PY17/PY25 and contract resources. Replace one-time vendor evidence profiles with version-matched, continuing disclosure and obligation monitoring."
10,"Governance, Accountability, and Institutional Risk","Governance, Accountability, and Institutional Risk","The revised chapter centres institutional authority, residual-risk acceptance, answerability, contestability, assurance independence, conflicts, dissent, legitimacy, reauthorization, and accountability beyond approval.","Revise C03/C04/C05, RG04, CASE10, PY07/PY08/PY26. Add residual-risk authority, dissent records, conflict declarations, reauthorization triggers, and legitimacy/communication evidence."
