figure,chapter,chapter_title,caption,source_asset,status,version,release_date,companion_asset,web_asset
1.1,1,AI as a Health-System Intervention,Conceptual AI intervention value chain with cross-cutting controls and continuous evaluation.,figures/ch01/fig_ch01_ai_HealthcareEcon.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_1_1.png,assets/figures/Figure_1_1.png
1.2,1,AI as a Health-System Intervention,Conceptual pathway from technical potential to realized hospital value. Numerical values are illustrative rather than empirical estimates.,figures/ch01/fig_ch01_value_realization_waterfall.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_1_2.png,assets/figures/Figure_1_2.png
1.3,1,AI as a Health-System Intervention,Conceptual resource-allocation frontier illustrating opportunity cost in AI adoption. Alternative positions represent feasible allocations rather than empirically estimated resource levels.,figures/ch01/fig_ch01_opportunity_cost.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_1_3.png,assets/figures/Figure_1_3.png
2.1,2,Institutional Readiness and Digital Foundations,Layered institutional capabilities supporting AI readiness,figures/ch02/fig_ch2_ai_readiness_stack.jpg,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_2_1.jpg,assets/figures/Figure_2_1.jpg
2.2,2,Institutional Readiness and Digital Foundations,Health-data governance lifecycle for responsible secondary use,figures/ch02/fig_ch02_data_governance_lifecycle.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_2_2.png,assets/figures/Figure_2_2.png
3.1,3,Human–AI Decision Systems and Managerial Action,AI-mediated decision architecture,figures/ch03/fig_ch03_human_ai_decision_loop.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_3_1.png,assets/figures/Figure_3_1.png
3.2,3,Human–AI Decision Systems and Managerial Action,Decision latency from signal generation to review and response within a meaningful decision window,figures/ch03/fig_ch03_decision_latency.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_3_2.png,assets/figures/Figure_3_2.png
4.1,4,"Productivity, Work Redesign, and Implementation",From gross task-time saving to net usable capacity in AI-assisted work,figures/ch04/fig_ch04_productivity_decomposition.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_4_1.png,assets/figures/Figure_4_1.png
4.2,4,"Productivity, Work Redesign, and Implementation",VALIDATE-AI staged implementation pathway,figures/ch04/fig_ch04_validate_ai_pathway.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_4_2.png,assets/figures/Figure_4_2.png
5.1,5,"Quality Management, Accreditation, and Organizational Learning","Illustrative statistical process-control chart showing the detection of abnormal variation, investigation, and recovery following corrective action",figures/ch05/fig_ch05_quality_control_chart.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_5_1.png,assets/figures/Figure_5_1.png
5.2,5,"Quality Management, Accreditation, and Organizational Learning",From quality surveillance to organizational learning,figures/ch05/fig_ch05_lifecycle_learning.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_5_2.png,assets/figures/Figure_5_2.png
6.1,6,"Lifecycle Cost, Pricing, and Benefit Realization",Lifecycle cost architecture of AI ownership,figures/ch06/fig_ch06_tcaio_cost_stack.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_6_1.png,assets/figures/Figure_6_1.png
6.2,6,"Lifecycle Cost, Pricing, and Benefit Realization",Illustrative timing of lifecycle costs and recognized financial benefits,figures/ch06/fig_ch06_cost_benefit_lifecycle.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_6_2.png,assets/figures/Figure_6_2.png
7.1,7,"Economic Evaluation, Affordability, and Health Technology Assessment",Cost-effectiveness plane for incremental costs and outcomes,figures/ch07/fig_ch07_cost_effectiveness_plane.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_7_1.png,assets/figures/Figure_7_1.png
7.2,7,"Economic Evaluation, Affordability, and Health Technology Assessment",Illustrative annual and cumulative budget impact following adoption,figures/ch07/fig_ch07_budget_impact_profile.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_7_2.png,assets/figures/Figure_7_2.png
7.3,7,"Economic Evaluation, Affordability, and Health Technology Assessment",From economic evidence to an adoption decision,figures/ch07/fig_ch07_decision_tree.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_7_3.png,assets/figures/Figure_7_3.png
8.1,8,"Decision Modelling, Simulation, and the Value of Information",Illustrative one-way sensitivity analysis for an AI-enabled service,figures/ch08/fig_ch08_tornado_sensitivity.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_8_1.png,assets/figures/Figure_8_1.png
8.2,8,"Decision Modelling, Simulation, and the Value of Information",From decision uncertainty to research value using value-of-information analysis.,figures/ch08/fig_ch08_Decision_Uncertainty_To_Research_Value.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_8_2.png,assets/figures/Figure_8_2.png
9.1,9,Problem-First Procurement and Vendor Governance,Procurement and vendor-governance gates from market specification to renewal or exit,figures/ch09/fig_ch09_procurement_gates.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_9_1.png,assets/figures/Figure_9_1.png
10.1,10,"Governance, Accountability, and Institutional Risk",Institutional accountability architecture for AI-enabled health services,figures/ch10/fig_ch10_InstitutionalAccountabilityArchitecture.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_10_1.png,assets/figures/Figure_10_1.png
10.2,10,"Governance, Accountability, and Institutional Risk",Equity assurance matrix for AI-enabled health services.,figures/ch10/fig_ch10_equity_audit_matrix.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_10_2.png,assets/figures/Figure_10_2.png
11.1,11,"Evidence, Validation, and Real-World Evaluation",Escalating evidentiary claims for AI-enabled health services,figures/ch11/fig_ch11_evidence_lifecycle.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_11_1.png,assets/figures/Figure_11_1.png
11.2,11,"Evidence, Validation, and Real-World Evaluation","Illustrative decision-curve analysis for readmission-risk prediction. Net benefit is evaluated across threshold probabilities for intensified discharge support. The shaded interval denotes a plausible action-threshold range; within this range, Readmission Model A provides greater net benefit than the conventional risk score and the treat-all and treat-none strategies. The figure illustrates interpretation of decision curves rather than reporting empirical estimates.",figures/ch11/fig_ch11_decision_curve.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_11_2.png,assets/figures/Figure_11_2.png
11.3,11,"Evidence, Validation, and Real-World Evaluation",From model output to causal intervention effect,figures/ch11/fig_ch11_model_output_causal_intervention.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_11_3.png,assets/figures/Figure_11_3.png
12.1,12,Decision Architecture and Lifecycle Governance,AI-HEVG integrative assessment architecture.,figures/ch12/fig_ch12_ai_hevg.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_12_1.png,assets/figures/Figure_12_1.png
12.2,12,Decision Architecture and Lifecycle Governance,AI Health Economics Dossier (AI-HED) as a living decision-provenance record.,figures/ch12/fig_ch12_ai_hed.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_12_2.png,assets/figures/Figure_12_2.png
12.3,12,Decision Architecture and Lifecycle Governance,Institutional decision states and lifecycle transition triggers.,figures/ch12/fig_ch12_institutional_decision_lifecycle_flow.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_12_3.png,assets/figures/Figure_12_3.png
12.4,12,Decision Architecture and Lifecycle Governance,Controlled production pathway for generative and agentic AI.,figures/ch12/fig_ch12_controlled_generative_ai_pipeline.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_12_4.png,assets/figures/Figure_12_4.png
12.5,12,Decision Architecture and Lifecycle Governance,"AI de-adoption, replacement, and retirement pathway.",figures/ch12/fig_ch12_de_adoption_pathway.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_12_5.png,assets/figures/Figure_12_5.png
13.1,13,Circular Health Systems and Resource Stewardship,Resource value-retention pathways in an AI-enabled health system.,figures/ch13/fig_ch13_circular_lifecycle_for_ai.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_13_1.png,assets/figures/Figure_13_1.png
15.1,15,Circularity-Adjusted Economic Evaluation and Sustainable Value,Analytical pathway for circularity-adjusted economic evaluation.,figures/ch15/fig_ch15_circularity_adjusted_value_framework.png,Current principal book figure,V1.0,2026-09-02,catalogs/figures/Figure_15_1.png,assets/figures/Figure_15_1.png
