Domain,Score (0-4),Critical,Evidence
Strategic alignment,3,No,Board-approved readmission objective
Data fitness,2,Yes,EHR complete; community-care linkage incomplete
Interoperability,1,Yes,Manual transfer and inconsistent patient identifiers
Infrastructure and resilience,3,Yes,Reliable hosting and recovery testing
Workflow and response capacity,2,Yes,Limited case-management capacity
Workforce capability,2,No,Clinical informatics support available
Quality and accreditation,2,Yes,Monitoring process drafted but not tested
Economics and affordability,3,No,Pilot funding identified
Governance and assurance,2,Yes,AI committee established; escalation incomplete
Procurement and vendor readiness,1,Yes,Audit and update clauses not negotiated
Circularity and sustainability,1,No,No compute or asset-life baseline
