Pilot element,Specification
"Site, service, population, dates","Illustrative response for Site, service, population, dates: evidence documented, limitations noted, and an accountable owner assigned."
"System, version, intended use, excluded uses","Illustrative response for System, version, intended use, excluded uses: evidence documented, limitations noted, and an accountable owner assigned."
Comparator / baseline,"Illustrative response for Comparator / baseline: evidence documented, limitations noted, and an accountable owner assigned."
User groups and training / competence requirement,"Illustrative response for User groups and training / competence requirement: evidence documented, limitations noted, and an accountable owner assigned."
Human review and decision authority,"Illustrative response for Human review and decision authority: evidence documented, limitations noted, and an accountable owner assigned."
Primary effectiveness and safety outcomes,"Illustrative response for Primary effectiveness and safety outcomes: evidence documented, limitations noted, and an accountable owner assigned."
"Workflow, economic, equity, and trust outcomes","Illustrative response for Workflow, economic, equity, and trust outcomes: evidence documented, limitations noted, and an accountable owner assigned."
Data collection and analysis plan,"Illustrative response for Data collection and analysis plan: evidence documented, limitations noted, and an accountable owner assigned."
Incident response and authority to pause,"Illustrative response for Incident response and authority to pause: evidence documented, limitations noted, and an accountable owner assigned."
Stopping rules,"Illustrative response for Stopping rules: evidence documented, limitations noted, and an accountable owner assigned."
Pilot completion and scale criteria,"Illustrative response for Pilot completion and scale criteria: evidence documented, limitations noted, and an accountable owner assigned."
