resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility,release_date
AIHE-CASE04,Ambient Documentation Assistant: Productivity and Work Redesign,4,md; csv; json; xlsx,"How much of the claimed notes time saving becomes usable capacity after review, correction, adoption, and implementation costs?",V1.0,public,4,worked_examples/AIHE-CASE04_ambient_documentation_assistant_productivity_and_work_redesign,"Productivity, Work Redesign, and Implementation",AIHE-B03; AIHE-Z; AIHE-EX07; AIHE-R; AIHE-EX10; AIHE-PY22; AIHE-PY23; AIHE-PY28,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 4 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-16
AIHE-RG03,Implementation Framework Selection Guide,4,docx; xlsx; csv; json; md,"Select CFIR, NASSS-CAT, RE-AIM/PRISM, TAM/UTAUT, and mixed-method approaches according to the implementation question rather than name recognition.",V1.0,public,"4, 11, 12",chapters/04/guides/AIHE-RG03,"Productivity, Work Redesign, and Implementation",,Reference guide,,yes,docs/forms/AIHE-RG03/index.html,yes,docs/process/resources/AIHE-RG03.html,Introductory to applied,"Readers selecting methods, standards, guidance, or appraisal tools",20–60 minutes,"Defined question, jurisdiction, study design, or implementation context",Documented selection and status of the relevant instrument,Book Chapter 4 or related decision pathway,Whenever guidance or standards are selected or updated,Recommended,"Browser form, DOCX, or spreadsheet",Low to moderate,Consult a reference guide,default,2026-09-16
AIHE-D02,"Lifecycle Decision State, Staged Evidence, and AI-HED Status",12,docx; xlsx; csv; json; md; mmd; svg; png,"Record the current institutional decision state, exact intervention identity, scope, evidence, conditions, safeguards, triggers, authority, history, and next review.",V1.0,public,"4, 9, 11, 12",chapters/12/core/AIHE-D02,Decision Architecture and Lifecycle Governance,AIHE-R; AIHE-EX14; AIHE-EX10; AIHE-AE; AIHE-E; AIHE-EX02; AIHE-H; AIHE-K; AIHE-P; AIHE-V,Core,AIHE-R; AIHE-EX14; AIHE-EX10; AIHE-AE; AIHE-E; AIHE-EX02; AIHE-H; AIHE-K; AIHE-P; AIHE-V,yes,docs/forms/AIHE-D02/index.html,yes,docs/process/resources/AIHE-D02.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Implement and monitor safely,default,2026-09-16
AIHE-D03,Post-Deployment Monitoring and Algorithmovigilance Cadence,12,docx; xlsx; csv; json; md; mmd; svg; png,"Define recurring and event-triggered surveillance across technical, workflow, safety, equity, economic, and contractual domains.",V1.0,public,"5, 11, 12",chapters/12/core/AIHE-D03,Decision Architecture and Lifecycle Governance,AIHE-S,Core,AIHE-S,yes,docs/forms/AIHE-D03/index.html,yes,docs/process/resources/AIHE-D03.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,Implement and monitor safely,default,2026-09-16
AIHE-D04,Incident Classification and Reconstruction,12,docx; xlsx; csv; json; md; mmd; svg; png,"Reconstruct technical, clinical, workflow, privacy, cybersecurity, equity, communication, and economic incidents consistently.",V1.0,public,"5, 10, 11, 12",chapters/12/core/AIHE-D04,Decision Architecture and Lifecycle Governance,AIHE-EX12,Core,AIHE-EX12,yes,docs/forms/AIHE-D04/index.html,yes,docs/process/resources/AIHE-D04.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,"Review an update, incident, or renewal",default,2026-09-16
AIHE-D05,"Material Change, Reauthorization, Renewal, Replacement, and Retirement Record",12,docx; xlsx; csv; json; md; mmd; svg; png,"Assess material change, revalidation, current authorization, renewal, renegotiation, replacement, retirement, continuity, and the end of authorization.",V1.0,public,"9, 11, 12",chapters/12/core/AIHE-D05,Decision Architecture and Lifecycle Governance,AIHE-EX11; AIHE-T; AIHE-J,Core,AIHE-EX11; AIHE-T; AIHE-J,yes,docs/forms/AIHE-D05/index.html,yes,docs/process/resources/AIHE-D05.html,Applied,Institutional decision-makers and multidisciplinary project teams,60–180 minutes,"Defined decision problem, realistic comparator, local evidence, named owners, and applicable institutional requirements","Versioned institutional decision record with conditions, monitoring, review date, and exit route",Book Chapter 12; governed working copy; accountable owner,At initiation and each material review,Essential when relevant to the decision,DOCX for narrative work; XLSX for registers and calculations,Low to moderate,"Review an update, incident, or renewal",default,2026-09-16
AIHE-CASE12,"Model Update, Incident Response, and Renewal Decision",12,md; csv; json; xlsx,"Should the organization continue, restrict, roll back, replace, or retire the system after a material update and operational incident?",V1.0,public,12,worked_examples/AIHE-CASE12_model_update_incident_response_and_renewal_decision,Decision Architecture and Lifecycle Governance,AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05; AIHE-S; AIHE-EX11; AIHE-EX12; AIHE-PY09; AIHE-PY27; AIHE-PY29,Worked case,,no,,no,,Introductory to applied,"Readers, students, and practitioners",45–120 minutes,No local data required; synthetic assumptions are supplied,Completed case interpretation and conditional recommendation,Book Chapter 12 or the case orientation,"Orientation, self-study, or method demonstration",Recommended,"Browser demonstration, workbook, scenario, and worked solution",Low,Explore a worked example,default,2026-09-16
AIHE-EX10,Workflow Change and Training Competency Log,12,docx; xlsx; csv; json; md; mmd; svg; png,"Document role, workflow, training, competency, downtime, escalation, refresh, and adoption requirements.",V1.0,optional,"3, 4, 12",chapters/12/core/AIHE-D02/supp/AIHE-EX10,Decision Architecture and Lifecycle Governance,AIHE-D02,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX10.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-16
AIHE-EX11,Material Change and Renewal Review,12,docx; xlsx; csv; json; md; mmd; svg; png,"Assess model, data, interface, workflow, vendor, contract, policy, performance, risk, and annual renewal changes.",V1.0,optional,"9, 12",chapters/12/core/AIHE-D05/supp/AIHE-EX11,Decision Architecture and Lifecycle Governance,AIHE-D05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX11.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-16
AIHE-EX12,Incident Corrective Action and Reconstruction Log,12,docx; xlsx; csv; json; md; mmd; svg; png,"Classify and reconstruct technical, clinical, workflow, privacy, cybersecurity, equity, and communication incidents.",V1.0,optional,"5, 10, 12",chapters/12/core/AIHE-D04/supp/AIHE-EX12,Decision Architecture and Lifecycle Governance,AIHE-D04,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-EX12.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 12,As required by the decision,Optional or conditionally required,"DOCX, XLSX, or structured data",Moderate,Use a specialist resource,advanced,2026-09-16
