Domain,Appraisal question,Evidence reviewed,Judgement,Material uncertainty,Required local evidence or safeguard,Owner,Decision consequence
Intended use and pathway,"Is the decision, user, population, timing, action and comparator explicit?",,,,,,
Dataset construction,"Are selection, exclusions, missingness, partitions and leakage addressed?",,,,,,
Model or index test,"Is the exact version, preprocessing, threshold and output defined?",,,,,,
Reference standard,"Is it appropriate, independent, consistent and blinded where feasible?",,,,,,
Accuracy,Are task-appropriate metrics and uncertainty reported?,,,,,,
Calibration and thresholds,Are calibration and threshold-specific consequences evaluated?,,,,,,
Transportability,Does the evidence represent the intended local context?,,,,,,
Subgroups and equity,"Are performance, access and consequences assessed across relevant groups?",,,,,,
Human-AI performance,"Are acceptance, override, review burden and error correction measured?",,,,,,
Clinical utility,Does the system improve decisions or outcomes versus realistic alternatives?,,,,,,
Economic consequences,"Are downstream resource, cost and budget consequences included?",,,,,,
Lifecycle evidence,"Are monitoring, drift, update and incident plans credible?",,,,,,
