stage,stage_name,decision_purpose,primary_chapters,primary_resources,supporting_resources,recommended_preceding_records,typical_output,decision_gate
1,Define the decision,"Specify the service problem, population, complete intervention, realistic comparators, outcomes, value mechanism, stakeholders, and accountable authority.",1,AIHE-A01; AIHE-A02,AIHE-RG07; AIHE-CASE01,None — this stage initiates the decision.,Approved decision and use-case specification with decision rights and an evidence plan.,Is the problem sufficiently important and specified to justify further assessment?
2,Assess readiness and data,"Evaluate institutional capability, data fitness, provenance, interoperability, lawful access, resilience, technical debt, workflow capacity, and prerequisite investment.",2,AIHE-A03; AIHE-A04,AIHE-CASE02; AIHE-A; AIHE-U,AIHE-A01; AIHE-A02,"Readiness profile, remediation plan, data-provenance record, and decision on whether to strengthen foundations or continue.",Are critical prerequisites adequate for the intended level of consequence and dependence?
3,Establish evidence and quality requirements,"Define validation, reporting, appraisal, quality-control, accreditation, patient-safety, and independent-assurance requirements before consequential use.","5, 11",AIHE-C01; AIHE-C02; AIHE-EX05; AIHE-RG02; AIHE-RG06,AIHE-CASE05; AIHE-CASE11; AIHE-V,AIHE-A01; AIHE-A03; AIHE-A04,"Evidence plan, local-validation specification, monitoring indicators, acceptance thresholds, and corrective-action route.","Is the planned evidence proportionate to intended use, uncertainty, and consequence?"
4,"Model cost, value, affordability, and HTA","Estimate lifecycle cost, pricing exposure, benefit realization, cost-effectiveness, budget impact, affordability, distribution, reimbursement, and HTA implications.","6, 7",AIHE-B01; AIHE-B02; AIHE-B03; AIHE-B04,AIHE-CASE06; AIHE-CASE07; AIHE-B; AIHE-M,AIHE-A01; AIHE-A03; AIHE-A04,"Economic specification, lifecycle cost model, benefit-realization register, affordability profile, and conditional economic recommendation.",Does the intervention have a defensible value proposition and a financeable path under realistic scenarios?
5,Select the decision model and characterize uncertainty,"Choose a decision or simulation structure that matches the causal and operational problem; document assumptions, verification, sensitivity, scenarios, thresholds, and value of information.",8,AIHE-B05; AIHE-RG05,AIHE-CASE08; AIHE-EX04; AIHE-EX06; AIHE-EX15; AIHE-EX16,AIHE-A01; AIHE-B01; AIHE-B02; AIHE-B04,"Model specification, reproducibility record, uncertainty analysis, research priorities, and decision thresholds.","Is model complexity justified, credible, reproducible, and decision-relevant?"
6,Assess governance and institutional risk,"Evaluate accountability, human oversight, ethics, equity, privacy, cybersecurity, resilience, trust, contestability, communication, and institutional risk as connected requirements.",10,AIHE-C03; AIHE-C04; AIHE-C05; AIHE-RG04,AIHE-CASE10; AIHE-AB; AIHE-AC; AIHE-N,AIHE-A01; AIHE-A02; AIHE-A04,"Integrated institutional-risk review, accountability matrix, transparency record, safeguards, and escalation authority.",Are mandatory safeguards satisfied and are residual risks explicitly owned and governable?
7,Procure and contract,"Translate the defined service need into vendor evidence requirements, due diligence, acceptance testing, pricing, audit rights, update control, continuity, portability, remedies, and exit.",9,AIHE-D01,AIHE-CASE09; AIHE-D; AIHE-EX08; AIHE-EX09,AIHE-A01; AIHE-B02; AIHE-B04; AIHE-C03,"Procurement specification, vendor comparison, contractual requirements, price and volume conditions, acceptance tests, and exit position.","Can the institution enforce the evidence, monitoring, change, continuity, and exit conditions required for safe use?"
8,"Implement, monitor, and control change","Use staged implementation, role and competency design, post-deployment monitoring, algorithmovigilance, incident reconstruction, corrective action, material-change review, and renewal controls.","4, 12",AIHE-D02; AIHE-D03; AIHE-D04; AIHE-D05; AIHE-RG03,AIHE-CASE04; AIHE-CASE12; AIHE-EX10; AIHE-EX11; AIHE-EX12,AIHE-D01; AIHE-D02; AIHE-C01,"Staged implementation record, monitoring cadence, incident record, change-control record, benefit evidence, and updated decision dossier.","Does real-world use remain within approved performance, safety, workload, equity, cost, and governance conditions?"
9,"Reassess continuing value, affordability, and support","Reassess the current comparator, realized benefits, lifecycle costs, budget exposure, supplier support, infrastructure dependencies, continuity, residual value, and credible replacement or exit options.","6, 9, 12",AIHE-B02; AIHE-B03; AIHE-B04; AIHE-D01; AIHE-D05,AIHE-CASE06; AIHE-CASE06B; AIHE-CASE09B; AIHE-CASE12; AIHE-PY10; AIHE-PY11; AIHE-PY17,AIHE-A01; AIHE-B01; AIHE-D01; AIHE-D03,"Updated financial case, supportability and continuity assessment, current alternatives, and a justified renewal, renegotiation, restriction, replacement, or retirement recommendation.","Does continuing use remain justified, affordable, supportable, and preferable to current alternatives without compromising mandatory safeguards?"
10,Assemble the decision record and renew or retire,"Integrate evidence, economics, governance, implementation, monitoring, conditions, dissent, and accountability into a versioned decision record and make an explicit continue, redesign, restrict, replace, or retire decision.",12,AIHE-D02; AIHE-D05; AIHE-P; AIHE-AE,AIHE-C03; AIHE-B02; AIHE-PY29; AIHE-PY40; AIHE-CASE12,AIHE-D02; AIHE-C03; AIHE-B01; AIHE-D05,"Versioned AI-HED or equivalent decision dossier, final recommendation, review date, renewal or de-adoption decision, and transition record.","Is continuing use still preferable to redesign, restriction, replacement, or retirement under current evidence and alternatives?"
