cycle,cycle_cost,cycle_qaly,Stable,Deteriorated,Hospitalized,Dead
0,900000.0,860.0,1.0,0.0,0.0,0.0
1,1603000.0,790.2,0.82,0.11,0.04,0.03
2,1976419.9999999998,734.1939999999998,0.7047999999999999,0.163,0.0643,0.06789999999999999
3,2142244.9,687.1393199999999,0.626701,0.18681199999999998,0.07703099999999999,0.10945599999999998
4,2185900.86,646.0595678,0.57028435,0.19512051,0.08247692999999999,0.15211820999999998
5,2160678.77416,609.1638401280001,0.5268336289,0.1950923045,0.0836421202,0.19443194639999997
6,2098233.4609936997,575.37494563432,0.49137204680799995,0.190623183355,0.082401456427,0.23560331341
7,2016906.7431269288,544.0355952497189,0.4610348608518099,0.18387231562724002,0.07986852197208,0.27522430154887
8,1927160.8285036222,514.7333592264966,0.4341582199448337,0.17604551759713594,0.076688259913608,0.31310800254442234
9,1834880.5112723585,487.19847639324104,0.40976390356511744,0.1678156068241381,0.07322819784827246,0.34919229176247196
10,1743317.586007773,461.24475386788185,0.3872663762384303,0.15955466461119655,0.06969471010449982,0.3834842490458733
