Domain,Indicator,Purpose,Possible balancing indicator
Access,Waiting time by service and urgency level,Assess whether AI improves timely access,Number of patients redirected without clinical review
Patient flow,Emergency department boarding time,Assess bottlenecks between ED and inpatient care,Premature discharge or reattendance
Quality,30-day readmission rate,Assess whether risk prediction and follow-up improve continuity,Increased post-discharge workload
Safety,Adverse event detection rate,Assess whether analytics improve safety surveillance,False positives and investigation burden
Workforce,Documentation time per encounter,Assess productivity effect of AI documentation,Time spent correcting editorially prepared text
Finance,Cost per avoided event,Connect economic evaluation to measurable outcomes,Costs shifted to another department
Equity,Tool use and benefit by patient subgroup,Detect unequal access or performance,"Digital exclusion by age, rurality, language, or disability"
Trust,Patient complaints related to digital access,Monitor acceptability and communication,Reduced access to human support
Cybersecurity,Number and severity of AI-related security incidents,Monitor resilience and risk exposure,Workflow disruption from security controls
Governance,Percentage of AI systems with current review date,Maintain lifecycle accountability,Administrative burden of governance
