case_id,title,chapter,chapter_title,related_core_resources,related_python_modules,formats,version,status,folder,canonical_folder,browser_demo_path,synthetic_data_status,release_date
AIHE-CASE00,Common Case-Analysis Method,0,Cross-chapter resource,AIHE-A01; AIHE-B01; AIHE-C03; AIHE-D02; AIHE-E01,,md; docx; xlsx; csv; json,V1.0,public,worked_examples/00_case_method,worked_examples/00_case_method,,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE01,Emergency-Department Triage Portfolio Decision,1,AI as a Health-System Intervention,AIHE-A01; AIHE-W; AIHE-X; AIHE-EX01; AIHE-K; AIHE-H,,md; csv; json; xlsx,V1.0,public,worked_examples/CASE01_triage,worked_examples/CASE01_triage,docs/demos/AIHE-CASE01/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE02,Readmission-Model Readiness and Data-Fitness Assessment,2,Institutional Readiness and Digital Foundations,AIHE-A03; AIHE-A; AIHE-L; AIHE-A04; AIHE-EX03; AIHE-Y; AIHE-U,AIHE-PY01; AIHE-PY03; AIHE-PY33,md; csv; json; xlsx,V1.0,public,worked_examples/CASE02_readiness,worked_examples/CASE02_readiness,docs/demos/AIHE-CASE02/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE03,Deterioration Alert Under Constrained Review Capacity,3,Human–AI Decision Systems and Managerial Action,AIHE-EX05; AIHE-EX06; AIHE-C04; AIHE-O; AIHE-I,AIHE-PY06; AIHE-PY21; AIHE-PY34; AIHE-PY35,md; csv; json; xlsx,V1.0,public,worked_examples/CASE03_alert_capacity,worked_examples/CASE03_alert_capacity,docs/demos/AIHE-CASE03/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE03B,Hospital Command Dashboard and Patient Flow,3,Human–AI Decision Systems and Managerial Action,AIHE-C01; AIHE-C02; AIHE-C04; AIHE-B03; AIHE-I,AIHE-PY21; AIHE-PY23; AIHE-PY34; AIHE-PY35,md; csv; json; xlsx,V1.0,public,worked_examples/CASE03B_dashboard_flow,worked_examples/CASE03B_dashboard_flow,docs/demos/AIHE-CASE03B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE04,Ambient Documentation Assistant: Productivity and Workforce Redesign,4,"Productivity, Work Redesign, and Implementation",AIHE-B03; AIHE-Z; AIHE-EX07; AIHE-R; AIHE-EX10,AIHE-PY22; AIHE-PY23; AIHE-PY28,md; csv; json; xlsx,V1.0,public,worked_examples/CASE04_ambient_docs,worked_examples/CASE04_ambient_docs,docs/demos/AIHE-CASE04/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE05,"AI Quality-Control, Accreditation, and Corrective Action",5,"Quality Management, Accreditation, and Organizational Learning",AIHE-C01; AIHE-C02; AIHE-I; AIHE-S; AIHE-EX12,AIHE-PY02,md; csv; json; xlsx,V1.0,public,worked_examples/CASE05_quality_capa,worked_examples/CASE05_quality_capa,docs/demos/AIHE-CASE05/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE06,"Five-Year Lifecycle Cost, Pricing, ROI, and Benefit Realization",6,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B01; AIHE-B02; AIHE-B; AIHE-M; AIHE-EX17; AIHE-B03,AIHE-PY10; AIHE-PY11,md; csv; json; xlsx,V1.0,public,worked_examples/CASE06_cost_roi,worked_examples/CASE06_cost_roi,docs/demos/AIHE-CASE06/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE06B,Financial Recognition and Budget Incidence,6,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B02; AIHE-B03,AIHE-PY10; AIHE-PY11,md; csv; json; xlsx,V1.0,public,worked_examples/CASE06B_finance_budget,worked_examples/CASE06B_finance_budget,docs/demos/AIHE-CASE06B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
AIHE-CASE07,"Remote Monitoring: Cost-Effectiveness, Budget Impact, and HTA",7,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04; AIHE-AA; AIHE-EX18; AIHE-EX04; AIHE-AC,AIHE-PY12; AIHE-PY13; AIHE-PY16,md; csv; json; xlsx,V1.0,public,worked_examples/CASE07_remote_monitor,worked_examples/CASE07_remote_monitor,docs/demos/AIHE-CASE07/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-02
