Indicator,Baseline value,Current value,Threshold for review,Responsible role,Action taken
Model discrimination,,,,Data science / clinical lead,
Calibration,,,,Data science / quality team,
False-positive rate,,,,Clinical lead,
False-negative rate,,,,Clinical safety lead,
Subgroup performance,,,,Equity / ethics representative,
Alert volume,,,,Workflow lead,
Clinician override rate,,,,Clinical governance committee,
Cost per month,,,,Finance office,
Downtime or incidents,,,,IT / cybersecurity,
Patient complaints or concerns,,,,Patient relations / ethics,
