case_id,title,chapter,chapter_title,related_core_resources,related_python_modules,formats,version,status,folder,canonical_folder,browser_demo_path,synthetic_data_status,release_date
AIHE-CASE00,Common Case-Analysis Method,,Cross-chapter resource,AIHE-A01; AIHE-B01; AIHE-C03; AIHE-D02,,md; docx; xlsx; csv; json,V1.0,public,worked_examples/00_case_analysis_method,worked_examples/00_case_analysis_method,,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE01,Emergency-Department Triage Portfolio Decision,1,AI as a Health System Intervention,AIHE-A01; AIHE-W; AIHE-X; AIHE-EX01; AIHE-K; AIHE-H,,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE01_emergency_department_triage_portfolio_decision,worked_examples/AIHE-CASE01_emergency_department_triage_portfolio_decision,docs/demos/AIHE-CASE01/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE02,Readmission-Model Readiness and Data-Fitness Assessment,2,Institutional Readiness and Digital Foundations,AIHE-A03; AIHE-A; AIHE-L; AIHE-A04; AIHE-EX03; AIHE-Y; AIHE-U,AIHE-PY01; AIHE-PY03; AIHE-PY33,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE02_readmission_model_readiness_and_data_fitness_assessment,worked_examples/AIHE-CASE02_readmission_model_readiness_and_data_fitness_assessment,docs/demos/AIHE-CASE02/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE03,Deterioration Alert Under Constrained Review Capacity,3,Human–AI Decision Systems and Managerial Action,AIHE-EX05; AIHE-EX06; AIHE-C04; AIHE-O; AIHE-I,AIHE-PY06; AIHE-PY21; AIHE-PY34; AIHE-PY35,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE03_deterioration_alert_under_constrained_review_capacity,worked_examples/AIHE-CASE03_deterioration_alert_under_constrained_review_capacity,docs/demos/AIHE-CASE03/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE03B,Hospital Command Dashboard and Patient Flow,3,Human–AI Decision Systems and Managerial Action,AIHE-C01; AIHE-C02; AIHE-C04; AIHE-B03; AIHE-I,AIHE-PY21; AIHE-PY23; AIHE-PY34; AIHE-PY35,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE03B_hospital_command_dashboard_and_patient_flow,worked_examples/AIHE-CASE03B_hospital_command_dashboard_and_patient_flow,docs/demos/AIHE-CASE03B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE04,Ambient Documentation Assistant: Productivity and Work Redesign,4,"Productivity, Work Redesign, and Implementation",AIHE-B03; AIHE-Z; AIHE-EX07; AIHE-R; AIHE-EX10,AIHE-PY22; AIHE-PY23; AIHE-PY28,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE04_ambient_documentation_assistant_productivity_and_work_redesign,worked_examples/AIHE-CASE04_ambient_documentation_assistant_productivity_and_work_redesign,docs/demos/AIHE-CASE04/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE05,"AI Quality Management, Accreditation, and Corrective Action",5,"Quality Management, Accreditation, and Organizational Learning",AIHE-C01; AIHE-C02; AIHE-I; AIHE-S; AIHE-EX12,AIHE-PY02,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE05_ai_quality_management_accreditation_and_corrective_action,worked_examples/AIHE-CASE05_ai_quality_management_accreditation_and_corrective_action,docs/demos/AIHE-CASE05/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE06,"Five-Year Lifecycle Cost, Pricing, ROI, and Benefit Realization",6,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B01; AIHE-B02; AIHE-B; AIHE-M; AIHE-EX17; AIHE-B03,AIHE-PY10; AIHE-PY11,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE06_five_year_lifecycle_cost_pricing_roi_and_benefit_realization,worked_examples/AIHE-CASE06_five_year_lifecycle_cost_pricing_roi_and_benefit_realization,docs/demos/AIHE-CASE06/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE06B,Financial Recognition and Budget Incidence,6,"Lifecycle Cost, Pricing, and Benefit Realization",AIHE-B02; AIHE-B03,AIHE-PY10; AIHE-PY11,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE06B_financial_recognition_and_budget_incidence,worked_examples/AIHE-CASE06B_financial_recognition_and_budget_incidence,docs/demos/AIHE-CASE06B/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
AIHE-CASE07,"Remote Monitoring: Cost-Effectiveness, Budget Impact, and Health Technology Assessment",7,"Economic Evaluation, Affordability, and Health Technology Assessment",AIHE-B04; AIHE-AA; AIHE-EX18; AIHE-EX04; AIHE-AC,AIHE-PY12; AIHE-PY13; AIHE-PY16,md; csv; json; xlsx,V1.0,public,worked_examples/AIHE-CASE07_remote_monitoring_cost_effectiveness_budget_impact_and_hta,worked_examples/AIHE-CASE07_remote_monitoring_cost_effectiveness_budget_impact_and_hta,docs/demos/AIHE-CASE07/index.html,Synthetic instructional data; replace with authorized local evidence before institutional use.,2026-09-16
