Lifecycle domain,Checklist question,Evidence or document
Problem definition,"Is the hospital problem clearly defined, and is AI necessary?",AI Use-Case Canvas
Comparator,What is the realistic alternative to AI?,Decision problem template
Data readiness,"Are data complete, representative, interoperable, and legally usable?",Data readiness report
Validation,Has the model been tested locally and across relevant subgroups?,Validation plan and results
Economic evaluation,"Are lifecycle costs, benefits, and uncertainty assessed?","TCO, ROI, CEA, or BIA worksheet"
Ethical governance,"Are accountability, fairness, transparency, and human oversight defined?",Ethical governance checklist
Implementation,Is there a staged implementation plan with training and workflow redesign?,Implementation roadmap
Monitoring,"Are performance, cost, equity, workflow, and safety indicators monitored?",Algorithmovigilance dashboard
Updating,"Are model changes documented, validated, and approved?",Change-control log
Decommissioning,Are stopping rules and exit procedures defined?,Decommissioning checklist
