record_id,resource_id,resource_version,release_date,section,field_or_question,guidance,response_or_evidence,owner,due_or_review_date,evidence_cut_off,local_modifications,intervention_version
,AIHE-D02,V1.0,2026-09-16,Decision identity,"Intervention, product, model, configuration, data, workflow, and version",A decision must have a stable identity.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,Current state,Under consideration; Evaluation authorized; Conditional use; Authorized use; Restricted use; Paused or suspended; Retired or superseded,Authorization is a current state.,Evaluation authorized (synthetic teaching example only),Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,Implementation activity,"Retrospective study, silent evaluation, restricted pilot, phased rollout, or routine service",Record this separately from the current permission state; an activity does not itself authorize use.,Synthetic illustration: silent evaluation; authorization to be documented.,,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,State scope,"Population, setting, users, functions, exclusions, and effective date",Define the boundary of authorization.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,Conditions,"Mandatory safeguards, use conditions, and unresolved uncertainty",Do not collapse specialist evidence into one score.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,Evidence status,Authoritative evidence records and evidence cut-off,Link the state to current evidence.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,Triggers,"Open monitoring, incident, change, contract, cost, equity, or support triggers",State default response.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,Authority,"Decision authority, dissent, conflicts, and decision date",Preserve provenance.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,Review,Next review date and evidence required,Keep the judgement current.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
,AIHE-D02,V1.0,2026-09-16,History,"Previous state, transition date, reason, evidence, and authority",Maintain a versioned decision history.,Illustrative synthetic response; replace with local evidence.,Named institutional owner,,2026-09-02,,1.0
