Decision layer,Decision and authority,Evidence required or available,"Gap, condition, or next action"
Regulatory status and intended use,,,
Joint or national clinical assessment,,,
Economic evaluation and decision perspective,,,
"Reimbursement, tariff, or payment mechanism",,,
Budget impact and responsible budget holder,,,
Procurement and contractual evidence,,,
"Local validation, workflow, and implementation evidence",,,
"Equity, patient/public, and distributional evidence",,,
"Monitoring, evidence generation, and renewal conditions",,,
"Final relationship among authorization, HTA, payment, procurement, and local adoption",,,
