old_table_id,chapter,old_title_short,status,new_table_id,required_action
Front-1,Front matter,Suggested pathways through the book,RETAIN,Front-1,Retain; refresh page references and chapter titles.
Front-2,Front matter,The five-part decision architecture,RETAIN,Front-2,Retain; no substantive companion change beyond page-independent links.
1.1,1,Core questions for evaluating AI as a health-system intervention,RETAIN,1.1,Refresh wording and references.
1.2,1,"AI use patterns, value mechanisms, and evidence priorities",RETAIN,1.2,Refresh wording and examples.
1.3,1,"Technical, clinical, economic, and managerial value",RETAIN,1.3,Refresh wording and examples.
1.4,1,Selected healthcare economics concepts for AI adoption,RETIRE,,Remove as an active table reference; concepts remain in prose and Chapters 6–7.
1.5,1,Economic questions to answer before an AI pilot,RETIRE,,Absorb into A01/B01/B02 and pilot decision records.
1.6,1,Minimum sequence for local evaluation,RETIRE,,Absorb into staged adoption and D02; do not present as a current book table.
1.7,1,Common AI decision failures and corrective disciplines,RENUMBER,1.4,Retain content under the revised table number.
2.1,2,Digital capability decisions and long-term economic consequences,RETIRE,,Absorb into readiness assessment and architecture/portfolio fields.
2.2,2,Data problems and clinical/economic consequences,RENUMBER,2.1,Retain with revised title and institutional consequences.
2.3,2,Infrastructure failure modes and economic consequences,RETIRE,,Absorb into A03/A04 and resilience fields.
2.4,2,Governance patterns for common secondary uses,RETIRE,,Absorb into secondary-use authorization and SHARE-AI records.
3.1,3,Delegation patterns for AI-enabled clinical decision support,RETAIN_RECREATE,3.1,Revise as decision-right configurations.
3.2,3,Dashboard failure modes and design responses,RETAIN_RECREATE,3.2,Revise as managerial signal failure modes and design responses.
4.1,4,AI productivity claims and evidence requirements,RETIRE,,Absorb into productivity case guidance and B03.
4.2,4,Converting AI-enabled time savings into economic value,RENUMBER,4.1,Revise as task savings to usable service capacity.
4.3,4,Workforce concerns and management responses,RENUMBER,4.2,Expand into workforce effects and evaluation questions.
4.4,4,Selecting implementation frameworks by function,RENUMBER,4.3,Revise as implementation resources matched to analytical questions.
4.5,4,Common implementation barriers and matched strategies,RETIRE,,Absorb into RG03 and implementation planning.
5.1,5,Distinct roles of quality functions,RETAIN_RECREATE,5.1,Revise title and characteristic outputs.
5.2,5,Quality-management evidence for an AI-enabled pathway,RETAIN_RECREATE,5.2,"Revise to signals, surveillance and escalation."
6.1,6,"Lifecycle cost categories, omissions and evidence sources",RETAIN_RECREATE,6.1,Revise to lifecycle cost categories and sources of financial evidence.
6.2,6,"Pricing structures, exposure and contractual controls",RETAIN,6.2,Update for volume escalation and contractual flexibility.
6.3,6,"Benefit categories, realization evidence and accounting treatment",RETAIN_RECREATE,6.3,Revise to explicit treatment in the institutional financial case.
7.1,7,Economic evaluation approaches and decision roles,RETAIN_RECREATE,7.1,Revise title and link to the economic decision.
7.2,7,Decision layers from authorization to local adoption,RETAIN_RECREATE,7.2,Revise as economic evidence across decision layers.
8.1,8,Matching AI decision structures to modelling approaches,RETAIN_RECREATE,8.1,Revise around the dominant feature of the decision problem.
