Dossier section,Required content
1. Problem definition,"Illustrative response for 1. Problem definition: evidence documented, limitations noted, and an accountable owner assigned."
2. AI use case,"Illustrative response for 2. AI use case: evidence documented, limitations noted, and an accountable owner assigned."
3. Comparator,"Illustrative response for 3. Comparator: evidence documented, limitations noted, and an accountable owner assigned."
4. Evidence base,"Illustrative response for 4. Evidence base: evidence documented, limitations noted, and an accountable owner assigned."
5. Data readiness,"Illustrative response for 5. Data readiness: evidence documented, limitations noted, and an accountable owner assigned."
6. Economic evaluation,"Illustrative response for 6. Economic evaluation: evidence documented, limitations noted, and an accountable owner assigned."
7. Ethical governance,"Illustrative response for 7. Ethical governance: evidence documented, limitations noted, and an accountable owner assigned."
8. Privacy and cybersecurity,"Illustrative response for 8. Privacy and cybersecurity: evidence documented, limitations noted, and an accountable owner assigned."
9. Equity impact,"Illustrative response for 9. Equity impact: evidence documented, limitations noted, and an accountable owner assigned."
10. Implementation plan,"Illustrative response for 10. Implementation plan: evidence documented, limitations noted, and an accountable owner assigned."
11. Future-proofing plan,"Illustrative response for 11. Future-proofing plan: evidence documented, limitations noted, and an accountable owner assigned."
12. Final recommendation,"Illustrative response for 12. Final recommendation: evidence documented, limitations noted, and an accountable owner assigned."
